level,subject,problem,answer
1,essere/avere 현재형,Io ___ studente.,sono
1,essere/avere 현재형,Io ___ vent'anni.,ho
1,essere/avere 현재형,Lei ___ italiana.,è
1,명사의 성과 수,I libr___ rossi sono qui. (복수),i
1,명사의 성과 수,La casa bianc___. (여성단수),a
1,명사의 성과 수,Le case bianc___. (여성복수),he
1,관사(정관사/부정관사),Ho ___ cane.,un
1,관사(정관사/부정관사),___ cane è molto simpatico.,Il
1,관사(정관사/부정관사),Ho bisogno di ___ libro nuovo.,un
1,규칙동사 현재형(-are/-ere/-ire),Io ___(말하다:parlare) italiano.,parlo
1,규칙동사 현재형(-are/-ere/-ire),Tu ___(먹다:mangiare) molto.,mangi
1,규칙동사 현재형(-are/-ere/-ire),Noi ___(살다:vivere) a Roma.,viviamo
1,주격·소유형용사,Ho la ___ macchina. (나의),mia
1,주격·소유형용사,Lei ama ___ famiglia. (그녀의),la sua
1,주격·소유형용사,___ cane è molto grande. (우리의),Il nostro
1,지시형용사(questo/quello),___ libro è mio. (이것),Questo
1,지시형용사(questo/quello),___ macchina è tua. (저것:여성),Quella
1,지시형용사(questo/quello),___ ragazzo è mio fratello. (이:남성),Questo
1,c'è/ci sono(존재표현),___ molti libri sul tavolo. (복수),Ci sono
1,c'è/ci sono(존재표현),___ un gatto in giardino. (단수),C'è
1,c'è/ci sono(존재표현),Non ___ tempo. (없다),c'è
1,기본 의문문·부정문,___ inglese? (말하다:parlare),Parli
1,기본 의문문·부정문,___ parlo inglese.,Non
1,기본 의문문·부정문,Lei ___ mangia carne.,non
2,불규칙동사 현재형(andare/fare/potere),Io ___(가다:andare) a scuola.,vado
2,불규칙동사 현재형(andare/fare/potere),Lei ___(하다:fare) i compiti.,fa
2,불규칙동사 현재형(andare/fare/potere),Io ___(할 수 있다:potere) aiutarti.,posso
2,재귀동사,___ alzo alle sette.,Mi
2,재귀동사,Lei ___ lava le mani.,si
2,재귀동사,Noi ___ svegliamo presto.,ci
2,근과거(avere),___ mangiato una mela. (avere:Ho),Ho
2,근과거(avere),Lei ha ___(끝내다:finire) il lavoro.,finito
2,근과거(avere),Abbiamo ___(보다:vedere) questo film.,visto
2,근과거(essere),Lei ___ andata a Roma. (essere:è),è
2,근과거(essere),Loro sono ___(오다:venire) ieri.,venuti
2,근과거(essere),Mi sono ___(일어나다:alzare) presto.,alzato
2,근접미래(stare per/andare a),Sto ___ uscire. (막~하려하다),per
2,근접미래(stare per/andare a),___ a studiare stasera. (andare),Vado
2,근접미래(stare per/andare a),Lei sta per ___(도착하다:arrivare).,arrivare
2,비교급·최상급,Questo libro è ___ interessante di quello.,più
2,비교급·최상급,È il ___ alto della classe.,più
2,비교급·최상급,Lei è ___ intelligente di suo fratello.,più
2,목적격대명사(직접/간접),___ do il libro. (그녀에게),Le
2,목적격대명사(직접/간접),___ compro. (그것을:책),Lo
2,목적격대명사(직접/간접),Lei ___ chiama tutti i giorni. (나에게),mi
2,전치사관사결합,Vado ___ mercato. (a+il),al
2,전치사관사결합,Il libro è ___ tavolo. (su+il),sul
2,전치사관사결합,Torno ___ scuola alle tre. (da+la),dalla
2,piacere류 동사,Mi ___ il cioccolato.,piace
2,piacere류 동사,Ci ___ i libri. (복수 동사),piacciono
2,piacere류 동사,Ti ___ la musica?,piace
2,부사·빈도표현,Faccio ___ colazione alle otto. (항상),sempre
2,부사·빈도표현,Vado ___ al cinema. (가끔),a volte
2,부사·빈도표현,Lei non arriva ___ tardi. (절대~않다),mai
3,반과거(imperfetto),"Quando ___(이다:essere) bambino, giocavo molto.",ero
3,반과거(imperfetto),Lei ___(살다:abitare) a Roma prima.,abitava
3,반과거(imperfetto),Noi ___(가다:andare) al mare ogni estate.,andavamo
3,근과거 vs 반과거,"Mentre ___(읽다:leggere), il telefono ha suonato.",leggevo
3,근과거 vs 반과거,Ieri ___(비오다:piovere) tutto il giorno.,ha piovuto
3,근과거 vs 반과거,"Quando ero giovane, ___(살다:abitare) a Milano.",abitavo
3,단순미래(futuro semplice),Domani ___(말하다:parlare) con lei.,parlerò
3,단순미래(futuro semplice),Loro ___(오다:venire) la prossima settimana.,verranno
3,단순미래(futuro semplice),Che ore ___(이다:essere)? (추측),saranno
3,명령법,___(말하다:parlare) più lentamente!,Parla
3,명령법,___(먹다:mangiare) la verdura! (Lei형),Mangi
3,명령법,___(오다:venire) qui!,Vieni
3,접속법 현재 기초,Bisogna che tu ___(오다:venire).,venga
