level,subject
1,です/ます체(정중형)
1,い형용사/な형용사 현재형
1,명사문 부정형
1,지시대명사(これ/それ/あれ)
1,조사 は・が
1,조사 を・に・で
1,존재표현(あります/います)
1,동사 ます형(현재/미래)
2,동사 て형
2,て형 활용(허가/금지)
2,동사 た형(과거)
2,동사 ない형(부정)
2,희망표현(たい)
2,경험표현(たことがある)
2,동시동작(ながら)
2,조사 から・まで
2,비교표현(より/ほど)
2,이유표현(から/ので)
3,가능형
3,수동형
3,사역형
3,조건표현(と/たら)
3,조건표현(ば)
3,의지형(よう)
3,전문표현(そうです)
3,양태표현(そうです)
3,추측표현(ようです/みたいです)
3,수수표현(あげる/もらう/くれる)
3,명사 수식절
3,병렬표현(たり〜たりする)
4,사역수동형
4,존경어 기초
4,겸양어 기초
4,추측(でしょう/かもしれません)
4,역접(のに)
4,목적(ために/ように)
4,가정법 심화(たとえ〜ても)
4,강조(こそ/さえ)
4,접속조사 심화(ものの/くせに)
4,수동 심화(피해수동)
4,부대상황(まま)
4,나열·조건 심화(たり강조)
5,경어 심화(조합)
5,사역 심화
5,추측·전문 조합(らしい)
5,강조 도치
5,관용표현(ものだ/わけだ)
5,부정강조(ざるを得ない)
5,양보(にもかかわらず)
5,원인·이유 심화(ゆえに)
5,강조(を通じて/を通して)
5,문어체 조사(にて)
6,고전어 잔재표현
6,최상급 격식 표현
6,신문체·논설체 표현
6,완곡화법(のではないか)
6,이중부정 표현
6,관용구·격언 표현
6,담화표지 심화(ところで/ともあれ)
6,뉘앙스 조동사 조합
