level,subject
1,be동사 현재형
1,일반동사 현재형
1,명사의 복수형
1,지시대명사(this/that)
1,인칭대명사·소유격
1,There is/are
1,현재진행형
1,기본 의문문·부정문
2,과거형(규칙/불규칙)
2,미래표현(will/be going to)
2,비교급·최상급
2,조동사(can/must/should)
2,전치사(시간/장소)
2,등위접속사(and/but/because)
2,현재완료(경험/완료)
2,부가의문문
2,관사 심화
2,빈도부사
3,현재완료진행형
3,과거완료
3,1차 조건문
3,관계대명사
3,수동태(현재/과거)
3,간접화법 기초
3,used to/would
3,동명사 vs to부정사
3,양보·이유 접속사
3,정도부사(so/such/too/enough)
3,부가어순
3,재귀대명사
4,2·3차 조건문
4,수동태(완료/진행)
4,관계부사·계속적 용법
4,간접화법 심화(시제일치)
4,분사구문
4,가정법 과거·과거완료(wish/if only)
4,강조구문(it~that)
4,도치구문 기초
4,복합관계사
4,준동사 심화
4,결과구문(so...that)
4,양보구문(although/despite)
5,도치구문 심화(Not only/Rarely)
5,가정법 다양한 활용(as if/suppose)
5,분열문(cleft sentence)
5,명사화(nominalization)
5,담화표지·연결어 심화
5,중첩 관계절
5,완곡화법·헤지 표현
5,강조 생략구문
5,미래완료·미래진행
5,복합수동태
6,문어체·격식체 구문
6,고급 도치·강조
6,시제·양태 뉘앙스
6,관용적 idiomatic grammar
6,문체적 병렬구조
6,학술적 글쓰기 문형
6,생략과 대용(ellipsis/substitution)
6,화용론적 뉘앙스(모달 조합)
