level,subject,problem,answer
1,是자문,我___学生。,是
1,是자문,他___老师。,是
1,是자문,这___我的书。,是
1,的 소유·수식,这是我___书。,的
1,的 소유·수식,他___朋友很好。,的
1,的 소유·수식,那是老师___车。,的
1,양사 기초,我有三___书。(권:本),本
1,양사 기초,她有两___猫。(마리:只),只
1,양사 기초,桌子上有一___杯子。(개:个),个
1,인칭·지시대명사(这/那),___是我的手机。(이것),这
1,인칭·지시대명사(这/那),___是他的电脑。(저것),那
1,인칭·지시대명사(这/那),___个人是我的朋友。(이),这
1,존재문 有,我___一个哥哥。,有
1,존재문 有,桌子上___书。,有
1,존재문 有,他___钱。(부정: 돈이 없다),没有
1,의문문(吗/什么/谁/哪儿),你是学生___?,吗
1,의문문(吗/什么/谁/哪儿),他是___?,谁
1,의문문(吗/什么/谁/哪儿),你在___学习?,哪儿
1,시간명사와 어순,我___去学校。(내일),明天
1,시간명사와 어순,他___在家。(지금),现在
1,시간명사와 어순,我们___见面。(어제),昨天
1,정도부사 很,这个菜___好吃。,很
1,정도부사 很,她___漂亮。,很
1,정도부사 很,今天___热。,很
2,동태조사 了(완료),我吃___饭。,了
2,동태조사 了(완료),他买___一本书。,了
2,동태조사 了(완료),她走___。,了
2,동태조사 在(진행),他___看书。,在
2,동태조사 在(진행),我___吃饭呢。,在
2,동태조사 在(진행),她___打电话。,在
2,동태조사 过(경험),我去___中国。,过
2,동태조사 过(경험),他吃___北京烤鸭。,过
2,동태조사 过(경험),你看___这部电影吗?,过
2,조동사(会/能/可以),我___说汉语。(능력),会
2,조동사(会/能/可以),你___进来。(허가),可以
2,조동사(会/能/可以),他今天___来吗?(가능),能
2,방위사·장소표현,书在桌子___。(위),上
2,방위사·장소표현,猫在椅子___。(아래),下
2,방위사·장소표현,他___学校学习。(~에서),在
2,비교문 比,今天___昨天冷。,比
2,비교문 比,他___我高。,比
2,비교문 比,这个___那个贵。,比
2,접속사(因为所以/虽然但是),"___下雨,所以我没去。",因为
2,접속사(因为所以/虽然但是),"虽然很累,___很开心。",但是
2,접속사(因为所以/虽然但是),"因为忙,___没有联系你。",所以
2,연동문,我去图书馆___书。,看
2,연동문,他___商店买东西。,去
2,연동문,我们坐公交车___学校。,去
2,시량보어,我学了两个___汉语。(시간:小时),小时
2,시량보어,他等了三___。(십분:十分钟),十分钟
2,시량보어,我们休息了一___。(한시간:一个小时),个小时
2,정반의문문(A不A),你___不去?,去
2,정반의문문(A不A),这个菜好___好吃?,不
2,정반의문문(A不A),你是___是学生?,不
3,把자문,我___书放在桌子上。,把
3,把자문,他___门关上了。,把
3,把자문,请___作业写完。,把
3,被자문,我的钱包___偷了。,被
3,被자문,杯子___他打破了。,被
3,被자문,作业___老师检查了。,被
3,결과보어,我做___了作业。(완료:完),完
3,결과보어,你听___了吗?(이해:懂),懂
3,결과보어,我看___这本书了。(완료:完),完
3,방향보어(단순),他走进___了。(이쪽으로),来
3,방향보어(단순),请拿___那本书。(저쪽으로 가져가다),去
3,방향보어(단순),他跑过___了。(이쪽으로),来
3,가능보어(得/不),我听___懂。(가능),得
3,가능보어(得/不),我看___见。(불가능),不
3,가능보어(得/不),"这么多菜,我吃___完。(불가능)",不
3,정도보어(得+형용사),他跑___很快。,得
3,정도보어(得+형용사),她说___很清楚。,得
3,정도보어(得+형용사),你写___真漂亮。,得
3,조사 着(지속),门开___呢。,着
3,조사 着(지속),他坐___看电视。,着
3,조사 着(지속),墙上挂___一张画。,着
3,是...的 강조구문,我___昨天来的。,是
3,是...的 강조구문,他是坐飞机来___。,的
3,是...的 강조구문,这是在北京买___。,的
3,조건문(如果...就),"___明天下雨,我就不去。",如果
3,조건문(如果...就),"如果你有时间,___来我家吧。",就
3,조건문(如果...就),"如果不懂,___问老师。",就
3,양보문(即使...也),"___下雨,我也要去。",即使
3,양보문(即使...也),"即使很累,他___坚持工作。",也
3,양보문(即使...也),"即使没有钱,我___要旅行。",也
3,존현문,墙上___着一张海报。,贴
3,존현문,桌子上放___一本书。,着
3,존현문,前面来___一个人。,了
3,이합사(离合词),我们见过一次___。(面 부분 분리),面
3,이합사(离合词),我想跟你___个忙。(帮 부분 분리),帮
3,이합사(离合词),他们已经结___婚了。(분리:了),了
4,복합방향보어,他走进教室___了。,来
4,복합방향보어,请把书拿___来。(위로),上
4,복합방향보어,他跑___去了。(밖으로),出
4,被자문 심화,车___撞坏了。,被
4,被자문 심화,他的钱包___小偷偷走了。,被
4,被자문 심화,这本书___借走了。,被
4,겸어문(使/让/请),他___我等一下。,让
4,겸어문(使/让/请),___大家安静一下。,请
4,겸어문(使/让/请),这件事___他很生气。,使
4,비교문 심화(越来越/A不如B),天气___冷了。,越来越
4,비교문 심화(越来越/A不如B),这个不___那个好。,如
4,비교문 심화(越来越/A不如B),他的汉语___来越好。,越
4,강조부사(连...都/也),___小孩子都知道。,连
4,강조부사(连...都/也),连他___不知道。,都
4,강조부사(连...都/也),他连饭___没吃。,都
4,어기조사 뉘앙스(了/呢/吧),我们走___。(제안),吧
4,어기조사 뉘앙스(了/呢/吧),你在做什么___?,呢
4,어기조사 뉘앙스(了/呢/吧),他已经回来___。(완료/변화),了
4,조건 심화(只要...就/只有...才),"___努力,就能成功。",只要
4,조건 심화(只要...就/只有...才),"只有努力,___能成功。",才
4,조건 심화(只要...就/只有...才),"只要下雨,我们___不出去。",就
4,화제화 구문,这本书我___过了。,看
4,화제화 구문,那件事他___知道。,不
4,화제화 구문,"中文,我___在学习。",正
4,是...的 심화,这个蛋糕是我做___。,的
4,是...的 심화,他是开车来___。,的
4,是...的 심화,这件衣服是在网上买___。,的
4,부정부사 심화(没/不),我___喜欢咖啡。(습관/의지 부정),不
4,부정부사 심화(没/不),我___去过美国。(경험 부정),没
4,부정부사 심화(没/不),他还___吃饭。(아직 안했다),没
4,겸어문 심화,公司___他去出差。,派
4,겸어문 심화,老师___学生回答问题。,叫
4,겸어문 심화,妈妈___我早点回家。,叫
4,시량보어 심화,我学了三年___汉语。,的
4,시량보어 심화,他工作了五___了。(년:年),年
4,시량보어 심화,我们等了他半___小时。(개:个),个
5,得자 정도보어 심화,他高兴___跳了起来。,得
5,得자 정도보어 심화,她累___说不出话来。,得
5,得자 정도보어 심화,教室安静___能听到针掉的声音。,得
5,被동 생략 피동문,杯子打___了。(깨졌다:破),破
5,被동 생략 피동문,作业写___了。(다 되다:完),完
5,被동 생략 피동문,门锁___了。(잠겼다:上),上
5,관용 격식구문(不但...而且),"她___漂亮,而且聪明。",不但
5,관용 격식구문(不但...而且),"他不但会说英语,___会说法语。",而且
5,관용 격식구문(不但...而且),"这个电影不但有意思,___很感人。",而且
5,강조구문(是...的 도치),___他昨天告诉我的。,是
5,강조구문(是...的 도치),是在这儿发生___。,的
5,강조구문(是...的 도치),是他一个人做___。,的
