lang_id,subject,flow
5,카페에서 음료 주문하기,"greeting,ordering,customization,payment,closing"
5,길 묻기,"greeting,asking_location,clarification,thanks,closing"
5,식당에서 주문하기,"greeting,reservation_check,ordering,recommendation,payment,closing"
5,옷가게에서 쇼핑하기,"greeting,browsing,size_request,fitting,payment,closing"
5,택시 타고 목적지 말하기,"greeting,destination,fare_confirmation,small_talk,closing"
5,호텔 체크인하기,"greeting,reservation_check,room_preference,payment,key_handoff,closing"
5,새 친구에게 자기소개하기,"greeting,self_intro,hobby_share,exchange_contact,closing"
5,전화로 약속 잡기,"greeting,propose_plan,negotiate_time,confirm_place,closing"
5,생일파티에 초대하기,"greeting,invitation,details,rsvp,closing"
5,오랜만에 만난 친구와 근황 나누기,"greeting,small_talk,sharing_news,future_plans,closing"
5,병원에서 증상 설명하기,"greeting,symptom_description,follow_up_questions,advice,closing"
5,공항에서 수하물 문제 해결하기,"greeting,ticket_check,baggage_issue,resolution,closing"
5,구매한 물건 환불/교환 요청하기,"greeting,problem_explanation,negotiation,resolution,closing"
5,분실물 신고하기,"greeting,item_description,location_details,contact_info,closing"
5,은행에서 계좌 개설하기,"greeting,purpose_explanation,document_check,account_details,closing"
5,채용 면접 보기,"greeting,self_intro,experience_question,strength_weakness,closing_question"
5,회의에서 의견 제시하기,"greeting,topic_intro,opinion_statement,counterargument,agreement,closing"
5,전화로 업무 문제 협의하기,"greeting,issue_explanation,proposal,confirmation,closing"
5,마감 연장 요청하기,"greeting,reason_explanation,negotiation,agreement,closing"
5,친구와 여행 계획 상의하기,"greeting,destination_suggestion,budget_discussion,itinerary,decision,closing"
5,환경 문제에 대해 토론하기,"greeting,topic_intro,opinion_exchange,counterargument,conclusion"
5,고민 상담하고 조언 주고받기,"greeting,problem_sharing,clarifying_questions,advice_giving,closing"
