level,subject
1,是자문
1,的 소유·수식
1,양사 기초
1,인칭·지시대명사(这/那)
1,존재문 有
1,의문문(吗/什么/谁/哪儿)
1,시간명사와 어순
1,정도부사 很
2,동태조사 了(완료)
2,동태조사 在(진행)
2,동태조사 过(경험)
2,조동사(会/能/可以)
2,방위사·장소표현
2,비교문 比
2,접속사(因为所以/虽然但是)
2,연동문
2,시량보어
2,정반의문문(A不A)
3,把자문
3,被자문
3,결과보어
3,방향보어(단순)
3,가능보어(得/不)
3,정도보어(得+형용사)
3,조사 着(지속)
3,是...的 강조구문
3,조건문(如果...就)
3,양보문(即使...也)
3,존현문
3,이합사(离合词)
4,복합방향보어
4,被자문 심화
4,겸어문(使/让/请)
4,비교문 심화(越来越/A不如B)
4,강조부사(连...都/也)
4,어기조사 뉘앙스(了/呢/吧)
4,조건 심화(只要...就/只有...才)
4,화제화 구문
4,是...的 심화
4,부정부사 심화(没/不)
4,겸어문 심화
4,시량보어 심화
5,得자 정도보어 심화
5,被동 생략 피동문
5,관용 격식구문(不但...而且)
5,강조구문(是...的 도치)
5,화행 완곡표현(是不是/不是...吗)
5,사동표현 심화(令/使)
5,접속부사 심화(既然...就/无论...都)
5,명사화 구문(所+동사)
5,겹문장 압축(관형절 심화)
5,성어·고정구문 기초
6,문어체 접속사(乃至/况且)
6,도치·강조 문어체(唯有/方能)
6,겸어문 고급(被迫/受到)
6,격식체 부정(并非/未必)
6,성어·고정구 심화
6,논설문 문형(据...称/由此可见)
6,함축적 화행(莫非/岂不是)
6,문어체 조사(之/者/所)
