lang_id,level,word,meaning,example
6,1,abfahren,출발하다,Wir fahren um zwölf Uhr ab.
6,1,die Abfahrt,출발,Vor der Abfahrt rufe ich an.
6,1,abholen,데리러 가다,Wir müssen noch meinen Bruder abholen.
6,1,die Adresse,주소,Können Sie mir seine Adresse sagen?
6,1,allein,혼자,Er kommt allein.
6,1,alt,"나이 든, 오래된",Wie alt sind Sie?
6,1,das Alter,나이,Alter: 26 Jahre.
6,1,anbieten,제공하다,Was darf ich dir anbieten?
6,1,der Anfang,시작,Sie wohnt am Anfang der Straße.
6,1,ankommen,도착하다,Wann kommt dieser Zug in Hamburg an?
6,1,die Ankunft,도착,Auf diesem Plan steht nur die Ankunft der Züge.
6,1,sich anmelden,"등록하다, 신청하다",Wo kann ich mich anmelden?
6,1,anrufen,전화하다,Kann man Sie anrufen?
6,1,der Anruf,전화(통화),Sie bekommt viele Anrufe auf ihrem Handy.
6,1,antworten,대답하다,Er antwortet nicht.
6,1,die Antwort,대답,Er gibt leider keine Antwort.
6,1,die Anzeige,광고,Ich habe Ihre Anzeige in der Zeitung gelesen.
6,1,sich anziehen,옷을 입다,Ich muss mich noch anziehen.
6,1,das Apartment,아파트,Wir haben ein Apartment gemietet.
6,1,der Apfel,사과,Ein Pfund Äpfel bitte.
6,1,arbeiten,일하다,Wo arbeiten Sie?
6,1,die Arbeit,"일, 직장",Mein Bruder sucht Arbeit.
6,1,arbeitslos,실직한,"Es gibt viele Leute, die schon lange arbeitslos sind."
6,1,der Arbeitsplatz,"직장, 일자리",An meinem Arbeitsplatz fehlt ein Drucker.
6,1,der Arm,팔,Mein Arm tut weh.
6,1,der Arzt,의사,Morgen habe ich einen Termin bei meiner Ärztin.
6,1,die Aufgabe,과제,Das ist eine schwere Aufgabe.
6,1,aufhören,"그만두다, 끝나다",Der Kurs hört in einer Woche auf.
6,1,aufstehen,일어나다,Ich muss immer um vier Uhr aufstehen.
6,1,der Aufzug,엘리베이터,In diesem Haus gibt es keinen Aufzug.
6,1,das Auge,눈,Er hat blaue Augen.
6,1,der Ausflug,"소풍, 나들이",Morgen machen wir einen Ausflug nach Heidelberg.
6,1,ausfüllen,서류를 작성하다,Füllen Sie bitte dieses Formular aus.
6,1,der Ausgang,출구,Wo ist der Ausgang?
6,1,die Auskunft,"안내, 정보",Können Sie mir eine Auskunft geben?
6,1,das Ausland,외국,Fahren Sie ins Ausland?
6,1,der Ausländer,외국인,Sind Sie Ausländerin?
6,1,aussteigen,내리다,Wo muss ich aussteigen?
6,1,der Ausweis,신분증,Hier ist mein Ausweis.
6,1,das Auto,자동차,Er kommt mit dem Auto.
6,2,der Apparat,"기기, 장치",Was machen wir mit deinem alten Apparat?
6,2,sich ärgern,화내다,"Ich ärgere mich, weil das Wetter schlecht ist."
6,2,der Artikel,"기사, 관사",Ich habe in der Zeitung einen interessanten Artikel gelesen.
6,2,auf jeden Fall,"어쨌든, 반드시",Ich möchte auf jeden Fall den neuen Film sehen.
6,2,aufmachen,열다,Kannst du bitte die Tür aufmachen?
6,2,aufpassen,"주의하다, 돌보다",Der Babysitter passt heute Abend auf die Kinder auf.
6,2,aufräumen,정리하다,Die Kinder müssen ihr Zimmer aufräumen.
6,2,aufregend,흥미진진한,Der Film ist nicht besonders aufregend.
6,2,der Automat,자동판매기,Fahrkarten gibt es nur am Automaten.
6,2,das Baby,아기,Wir haben ein Baby. Es ist sechs Wochen alt.
6,2,der Babysitter,베이비시터,Meine Tochter arbeitet als Babysitter.
6,2,backen,빵을 굽다,"Wenn du kommst, backe ich einen Kuchen."
6,2,die Bäckerei,빵집,Ich geh mal schnell zur Bäckerei.
6,2,das Bad,"욕조, 욕실",Das Haus hat kein Bad.
6,2,baden,목욕하다,"Ich bade nicht so gern, ich dusche lieber."
6,2,der Balkon,발코니,Die Wohnung hat auch einen kleinen Balkon.
6,2,basteln,공예를 하다,Die Kinder haben etwas gebastelt.
6,2,bauen,"짓다, 건설하다",Unsere Nachbarn bauen ein neues Haus.
6,2,die Baustelle,공사장,Vor unserem Haus ist eine große Baustelle.
6,2,beantworten,답하다,Hast du die Mail schon beantwortet?
6,2,sich bedanken,감사하다,Ich möchte mich noch einmal für Ihre Hilfe bedanken.
6,2,bedeuten,의미하다,Was bedeutet das Wort?
6,2,sich beeilen,서두르다,Kannst du dich bitte beeilen? Der Bus fährt gleich ab!
6,2,besichtigen,"구경하다, 견학하다",Ich möchte gern das Schloss besichtigen.
6,2,bestätigen,확인해주다,"Ich kann bestätigen, dass er hier war."
6,2,bestehen,"통과하다, 합격하다",Ich habe die Prüfung bestanden!
6,2,bestellen,주문하다,Wir möchten bitte bestellen.
6,2,der Besuch,방문,Wir bekommen am Wochenende Besuch.
6,2,besuchen,방문하다,Darf ich dich mal besuchen?
6,2,sich bewerben,지원하다,Ich möchte mich um diese Stelle bewerben.
6,2,bewölkt,흐린(날씨가),Heute ist es bewölkt.
6,2,die Bibliothek,도서관,Sie lernt jeden Tag in der Bibliothek.
6,2,billig,값싼,Das Wörterbuch kostet nur fünf Euro. Das ist aber billig!
6,2,die Blume,꽃,Gefallen dir die Blumen?
6,2,blond,금발의,Lisa hat blonde Haare.
6,2,böse,"화난, 나쁜",Sie ist richtig böse auf mich.
6,2,braten,팬에 굽다,Braten Sie das Fleisch in etwas Öl!
6,2,brauchen,필요로 하다,Ich brauche ein neues Auto.
6,2,bringen,가져오다,Bringen Sie mir bitte noch einen Kaffee!
6,2,buchen,예약하다,Morgen buche ich unsere Urlaubsreise.
6,3,die Grundschule,초등학교,Meine Tochter geht noch in die Grundschule.
6,3,die Hochschule,"대학, 전문대학",Er studiert an einer Fachhochschule.
6,3,das Gymnasium,김나지움(인문계 고등학교),Sie besucht das Gymnasium in der Stadt.
6,3,die Biologie,생물학,Biologie ist mein Lieblingsfach.
6,3,die Chemie,화학,Wir haben heute zwei Stunden Chemie.
6,3,die Geografie,지리학,In Geografie lernen wir über Kontinente.
6,3,die Geschichte,역사,Geschichte war mein Lieblingsfach in der Schule.
6,3,die Philosophie,철학,Er studiert Philosophie an der Universität.
6,3,die Physik,물리학,Physik finde ich sehr schwierig.
6,3,der Affe,원숭이,Im Zoo haben wir einen Affen gesehen.
6,3,der Bär,곰,Der Bär schläft im Winter.
