lang_id,level,word,meaning,example
4,1,pelo,머리카락,Ella tiene el pelo largo.
4,1,ojo,눈,Tiene los ojos verdes.
4,1,nariz,코,El niño se tocó la nariz.
4,1,simpático,"상냥한, 호감 가는",Mi profesor es muy simpático.
4,1,antipático,불친절한,El vecino es un poco antipático.
4,1,inteligente,똑똑한,Ella es muy inteligente.
4,1,trabajador,"근면한, 부지런한",Mi padre es muy trabajador.
4,1,alegre,"명랑한, 즐거운",La fiesta fue muy alegre.
4,1,serio,진지한,El director es un hombre serio.
4,1,tímido,"수줍은, 소심한",El niño es muy tímido con extraños.
4,1,sociable,사교적인,Mi hermana es muy sociable.
4,1,triste,슬픈,Estoy triste hoy.
4,1,contento,"기쁜, 만족한",Estamos muy contentos con el resultado.
4,1,enfadado,화가 난,Mi madre está enfadada conmigo.
4,1,desayuno,아침식사,Tomo café en el desayuno.
4,1,comida,"식사, 음식",La comida está lista.
4,1,cena,저녁식사,Cenamos a las nueve.
4,1,carne,고기,No como carne los viernes.
4,1,pescado,생선,El pescado está muy fresco.
4,1,fruta,과일,Me gusta comer fruta cada día.
4,1,verdura,채소,Hay que comer más verdura.
4,1,pan,빵,Compramos pan cada mañana.
4,1,instituto,중고등학교,Voy al instituto en autobús.
4,1,universidad,대학교,Estudia en la universidad.
4,1,clase,"수업, 교실",La clase empieza a las ocho.
4,1,biblioteca,도서관,Estudio en la biblioteca los sábados.
4,1,profesor,"선생님, 교수",Mi profesor de español es muy amable.
4,1,estudiante,학생,Es estudiante de medicina.
4,1,abogado,변호사,Su padre es abogado.
4,1,médico,의사,El médico me examinó ayer.
4,1,taxista,택시기사,El taxista conoce muy bien la ciudad.
4,1,jefe,상사,Mi jefe es muy exigente.
4,1,oficina,사무실,Trabajo en una oficina grande.
4,1,tienda,가게,Hay una tienda cerca de mi casa.
4,1,ordenador,컴퓨터,Necesito un ordenador nuevo.
4,1,teléfono,전화기,¿Me das tu número de teléfono?
4,1,vacaciones,"방학, 휴가",Vamos de vacaciones en agosto.
4,1,turista,관광객,Muchos turistas visitan la ciudad.
4,1,cine,영화관,Vamos al cine esta noche.
4,1,teatro,"극장, 연극",Fuimos al teatro el sábado.
4,2,cabeza,머리,Me duele la cabeza.
4,2,cara,얼굴,Tiene la cara redonda.
4,2,brazo,팔,Se rompió el brazo jugando al fútbol.
4,2,mano,손,Dame la mano.
4,2,dedo,손가락,Se cortó el dedo cocinando.
4,2,pierna,다리,Le duele la pierna.
4,2,pie,발,Tengo los pies fríos.
4,2,carácter,성격,Tiene un carácter muy fuerte.
4,2,optimista,낙관적인,Ella siempre es optimista.
4,2,tranquilo,"차분한, 조용한",Es un chico muy tranquilo.
4,2,nervioso,"긴장한, 불안한",Estoy nervioso antes del examen.
4,2,generoso,관대한,Mi abuelo es muy generoso.
4,2,egoísta,이기적인,No seas tan egoísta.
4,2,amable,친절한,El camarero fue muy amable.
4,2,lechuga,상추,La ensalada lleva lechuga y tomate.
4,2,tomate,토마토,Compré tomates frescos.
4,2,zanahoria,당근,El conejo come zanahorias.
4,2,plátano,바나나,Como un plátano cada mañana.
4,2,manzana,사과,Una manzana al día es bueno para la salud.
4,2,naranja,오렌지,El zumo de naranja es mi favorito.
4,2,patata,감자,Las patatas fritas están deliciosas.
4,2,queso,치즈,Me gusta el queso manchego.
4,2,yogur,요구르트,Desayuno un yogur con fruta.
4,2,colegio,초등학교,Mi hijo va al colegio en bicicleta.
