lang_id,level,word,meaning,example
7,1,ciao,안녕,"Ciao, come stai?"
7,1,grazie,감사합니다,Grazie mille per il tuo aiuto.
7,1,casa,집,Abito in una piccola casa.
7,1,famiglia,가족,La mia famiglia è molto grande.
7,1,amico,친구,Lui è il mio migliore amico.
7,1,scuola,학교,I bambini vanno a scuola la mattina.
7,1,libro,책,Sto leggendo un libro interessante.
7,1,acqua,물,Bevo acqua ogni mattina.
7,1,pane,빵,Compriamo pane fresco.
7,1,latte,우유,Il bambino beve latte caldo.
7,1,mela,사과,Lei mangia una mela rossa.
7,1,macchina,자동차,Lui guida una macchina blu.
7,1,strada,"거리, 길",Il panificio è in questa strada.
7,1,città,도시,Roma è una grande città.
7,1,giorno,"날, 하루",Oggi è una bella giornata.
7,1,notte,밤,Lui lavora spesso di notte.
7,1,mattina,아침,Mi sveglio presto la mattina.
7,1,sera,저녁,Ceniamo insieme la sera.
7,1,settimana,주(일주일),La prossima settimana vado in vacanza.
7,1,mese,"달, 월",Il mese di luglio è molto caldo.
7,1,anno,년,Quest'anno imparo l'italiano.
7,1,lavoro,"일, 직장",Cerca un nuovo lavoro.
7,1,camera,방,La sua camera è molto pulita.
7,1,tavolo,탁자,I libri sono sul tavolo.
7,1,sedia,의자,Siediti su questa sedia.
7,1,finestra,창문,"Apri la finestra, per favore."
7,1,porta,문,Chiudi la porta dietro di te.
7,1,cane,개,Il mio cane ama giocare in giardino.
7,1,gatto,고양이,Il gatto dorme sul divano.
7,1,uccello,새,Un uccello canta sull'albero.
7,1,fiore,꽃,Ha comprato dei fiori per sua madre.
7,1,sole,태양,Il sole splende oggi.
7,1,pioggia,비,C'è molta pioggia in autunno.
7,1,freddo,추운,Fa molto freddo in inverno.
7,1,caldo,더운,Fa caldo in estate.
7,1,grande,큰,Questo è un grande edificio.
7,1,piccolo,작은,Il gatto è molto piccolo.
7,1,bello,"아름다운, 멋진",Il paesaggio è molto bello.
7,1,contento,"기쁜, 만족한",Sono contento di vederti.
