level,subject,problem,answer
1,be동사 현재형,She ___ a doctor.,is
1,be동사 현재형,They ___ my best friends.,are
1,be동사 현재형,I ___ ready for the test.,am
1,일반동사 현재형,He ___ (play) the piano every day.,plays
1,일반동사 현재형,My sister ___ (like) chocolate.,likes
1,일반동사 현재형,We ___ (study) English on Mondays.,study
1,명사의 복수형,There are two ___ (box) on the table.,boxes
1,명사의 복수형,I have three ___ (child).,children
1,명사의 복수형,I visited five ___ (city) last year.,cities
1,지시대명사(this/that),___ is my favorite book right here.,This
1,지시대명사(this/that),___ are the shoes over there.,Those
1,지시대명사(this/that),Look at ___ car far away.,that
1,인칭대명사·소유격,This is ___ car. (I),my
1,인칭대명사·소유격,She gave the book to ___. (he),him
1,인칭대명사·소유격,___ dog is very friendly. (they),Their
1,There is/are,There ___ a cat under the table.,is
1,There is/are,There ___ many students in the classroom.,are
1,There is/are,There ___ some milk in the fridge.,is
1,현재진행형,She ___ (read) a book now.,is reading
1,현재진행형,They ___ (play) soccer at the moment.,are playing
1,현재진행형,I ___ (write) an email right now.,am writing
1,기본 의문문·부정문,___ she like tea?,Does
1,기본 의문문·부정문,He does not ___ (like) vegetables.,like
1,기본 의문문·부정문,___ they live in Seoul?,Do
2,과거형(규칙/불규칙),I ___ (visit) my grandmother last weekend.,visited
2,과거형(규칙/불규칙),They ___ (go) to the beach yesterday.,went
2,과거형(규칙/불규칙),"She ___ (not, finish) her homework last night.",did not finish
2,미래표현(will/be going to),I think it ___ (will) rain tomorrow.,will rain
2,미래표현(will/be going to),We ___ (be going to) travel to Spain next month.,are going to travel
2,미래표현(will/be going to),___ you help me with this box? (will),Will
2,비교급·최상급,This road is ___ (long) than that one.,longer
2,비교급·최상급,She is ___ student in our class. (smart),the smartest
2,비교급·최상급,This movie is ___ than the last one. (interesting),more interesting
2,조동사(can/must/should),You ___ wear a seatbelt in the car. (의무),must
2,조동사(can/must/should),___ I open the window? (허가 요청),Can
2,조동사(can/must/should),You ___ apologize to her. (조언),should
2,전치사(시간/장소),The concert starts ___ 7 PM.,at
2,전치사(시간/장소),My birthday is ___ May.,in
2,전치사(시간/장소),There is a cat ___ the roof.,on
2,등위접속사(and/but/because),"I like tea, ___ my brother likes coffee.",but
2,등위접속사(and/but/because),She stayed home ___ she was sick.,because
2,등위접속사(and/but/because),He bought apples ___ oranges.,and
2,현재완료(경험/완료),I ___ (see) that movie three times.,have seen
2,현재완료(경험/완료),She has just ___ (finish) her lunch.,finished
2,현재완료(경험/완료),They have never ___ (be) to Korea.,been
2,부가의문문,"You are coming to the party, ___?",aren't you
2,부가의문문,"She doesn't like spicy food, ___?",does she
2,부가의문문,"He can swim, ___?",can't he
2,관사 심화,I saw ___ elephant at the zoo.,an
2,관사 심화,___ moon is very bright tonight.,The
2,관사 심화,She is ___ honest person.,an
2,빈도부사,He ___ arrives early. (always),always
2,빈도부사,They are ___ late for class. (never),never
2,빈도부사,I ___ walk to school. (usually),usually
3,현재완료진행형,I ___ (study) English for three years.,have been studying
3,현재완료진행형,He ___ (work) here since 2020.,has been working
3,현재완료진행형,They ___ (wait) for the bus for an hour.,have been waiting
3,과거완료,"When I arrived, the train ___ already. (leave)",had already left
3,과거완료,She ___ her homework before dinner. (finish),had finished
3,과거완료,"By the time we got there, they ___ all the food. (eat)",had eaten
3,1차 조건문,"If it ___ (rain) tomorrow, I will stay home.",rains
3,1차 조건문,"If you study hard, you ___ (pass) the exam.",will pass
3,1차 조건문,"If she ___ (call) me, I will answer.",calls
3,관계대명사,The man ___ lives next door is a doctor.,who
3,관계대명사,This is the book ___ I bought yesterday.,that
3,관계대명사,I have a friend ___ speaks four languages.,who
3,수동태(현재/과거),This bridge ___ (build) in 1990.,was built
3,수동태(현재/과거),English ___ (speak) all over the world.,is spoken
3,수동태(현재/과거),The cake ___ (make) by my mother yesterday.,was made
3,간접화법 기초,She said that she ___ (be) tired.,was
3,간접화법 기초,He told me that he ___ (like) pizza.,liked
3,간접화법 기초,They said that they ___ (finish) the project.,had finished
3,used to/would,I ___ live in Busan. (used to),used to live
3,used to/would,"When I was young, I ___ often visit my grandmother. (would)",would often visit
3,used to/would,"She ___ be shy, but now she isn't. (used to)",used to be
3,동명사 vs to부정사,She enjoys ___ books. (read),reading
3,동명사 vs to부정사,He decided ___ abroad. (study),to study
3,동명사 vs to부정사,They stopped ___ some coffee. (buy),to buy
3,양보·이유 접속사,"___ it was raining, we went for a walk.",Although
3,양보·이유 접속사,She stayed home ___ she was sick.,since
3,양보·이유 접속사,"___ he is young, he is very wise.",Though
3,정도부사(so/such/too/enough),It was ___ cold that we couldn't go outside.,so
3,정도부사(so/such/too/enough),It was ___ a difficult exam.,such
3,정도부사(so/such/too/enough),She is old ___ to vote.,enough
3,부가어순,She cleaned her room ___ in the morning. (careful),carefully
3,부가어순,He arrived ___ at the station. (early),early
3,부가어순,They walked ___ through the park. (slow),slowly
3,재귀대명사,She taught ___ how to cook. (her),herself
3,재귀대명사,I made this cake ___. (I),myself
3,재귀대명사,He hurt ___ while playing soccer. (he),himself
4,2·3차 조건문,"If I ___ (be) rich, I would travel the world.",were
4,2·3차 조건문,"If she had studied harder, she ___ (pass) the exam.",would have passed
4,2·3차 조건문,"If I had known, I ___ (help) you.",would have helped
4,수동태(완료/진행),The report ___ (finish) already.,has been finished
4,수동태(완료/진행),The bridge ___ (repair) right now.,is being repaired
4,수동태(완료/진행),The letter ___ (send) by the time I arrived.,had been sent
4,관계부사·계속적 용법,This is the house ___ I was born.,where
4,관계부사·계속적 용법,I remember the day ___ we first met.,when
4,관계부사·계속적 용법,"He passed the exam, ___ surprised everyone.",which
4,간접화법 심화(시제일치),She asked me if I ___ (finish) my homework.,had finished
4,간접화법 심화(시제일치),He asked where I ___ (live).,lived
4,간접화법 심화(시제일치),She told me ___ worry. (not),not to worry
4,분사구문,"___ tired, she went to bed early. (feel)",Feeling
4,분사구문,"___ in French, the letter was hard to read. (write)",Written
4,분사구문,"___ the answer, he stayed silent. (not, know)",Not knowing
4,가정법 과거·과거완료(wish/if only),I wish I ___ (have) more time.,had
4,가정법 과거·과거완료(wish/if only),If only I ___ (study) harder.,had studied
