lang_id,level,subject,grammar_expl
3,1,是자문,是자문은 '~은 ~이다'라는 뜻으로 두 명사(구)를 연결해 신분이나 정체를 나타냅니다. 부정형은 不是를 씁니다. 형태: 주어 + 是 + 명사. 예문: 我是学生。(나는 학생이다.)
3,1,的 소유·수식,的는 명사를 수식하거나 소유를 나타낼 때 명사 앞에 씁니다(수식어+的+명사). 대명사가 가까운 가족/관계를 나타낼 때는 종종 생략됩니다. 형태: 명사/대명사 + 的 + 명사. 예문: 这是我的书。(이것은 나의 책이다.)
3,1,양사 기초,"중국어에서는 명사를 셀 때 숫자와 명사 사이에 반드시 양사(수량사)를 넣습니다. 개(个)는 가장 일반적인 양사이고, 사물마다 정해진 전용 양사가 있습니다. 형태: 숫자 + 양사 + 명사. 예문: 我有三本书。(나는 책이 세 권 있다.)"
3,1,인칭·지시대명사(这/那),"인칭대명사는 我/你/他, 지시대명사는 가까운 것을 가리키는 这와 먼 것을 가리키는 那로 구분됩니다. 형태: 这/那 + (양사) + 명사. 예문: 这是我的手机,那是他的电脑。(이것은 내 휴대폰이고, 저것은 그의 컴퓨터이다.)"
3,1,존재문 有,"有는 '~이 있다'는 소유나 존재를 나타내며, 부정형은 没有를 씁니다(不有는 쓰지 않음). 형태: 주어 + 有 + 명사. 예문: 我有一个哥哥。(나는 형이 한 명 있다.)"
3,1,의문문(吗/什么/谁/哪儿),"吗는 문장 끝에 붙여 예/아니오 의문문을 만들고, 什么(무엇)/谁(누구)/哪儿(어디) 등 의문사는 물어보는 자리에 그대로 넣습니다. 형태: 평서문 + 吗? / 의문사가 들어갈 자리에 의문사. 예문: 你是学生吗?他是谁?(당신은 학생입니까? 그는 누구입니까?)"
3,1,시간명사와 어순,"중국어는 시간을 나타내는 말이 주어 뒤, 동사 앞에 오는 것이 기본 어순입니다. 형태: 주어 + 시간명사 + 동사. 예문: 我明天去学校。(나는 내일 학교에 간다.)"
3,1,정도부사 很,"很은 형용사 앞에 붙어 정도를 나타내는 부사로, 중국어 형용사 서술문에서는 특별히 강조하지 않아도 습관적으로 很을 붙입니다. 형태: 주어 + 很 + 형용사. 예문: 这个菜很好吃。(이 음식은 맛있다.)"
3,2,동태조사 了(완료),了는 동사 뒤에 붙어 동작의 완료를 나타냅니다. 문장 끝에 오면 상황의 변화를 나타내기도 합니다. 형태: 동사 + 了. 예문: 我吃了饭。(나는 밥을 먹었다.)
3,2,동태조사 在(진행),"在는 동사 앞에 붙어 동작이 진행 중임을 나타내며, 문장 끝에 呢를 함께 쓰기도 합니다. 형태: 주어 + 在 + 동사. 예문: 他在看书。(그는 책을 보고 있다.)"
3,2,동태조사 过(경험),过는 동사 뒤에 붙어 과거의 경험(~한 적이 있다)을 나타냅니다. 부정형은 没+동사+过. 형태: 동사 + 过. 예문: 我去过中国。(나는 중국에 가본 적이 있다.)
3,2,조동사(会/能/可以),"会는 학습을 통한 능력, 能은 상황적 가능성, 可以는 허가를 나타내는 조동사입니다. 형태: 주어 + 会/能/可以 + 동사. 예문: 我会说汉语。你可以进来。(나는 중국어를 할 줄 안다. 들어와도 됩니다.)"
3,2,방위사·장소표현,"장소를 나타낼 때는 在 + 장소, 방위사(上/下/里/外)를 명사 뒤에 붙여 구체적 위치를 나타냅니다. 형태: 명사 + 방위사, 在 + 장소. 예문: 书在桌子上。(책은 책상 위에 있다.)"
3,2,비교문 比,"比는 두 대상을 비교할 때 쓰며, 'A比B+형용사' 형태로 A가 B보다 더 ~함을 나타냅니다. 형태: A + 比 + B + 형용사. 예문: 今天比昨天冷。(오늘이 어제보다 춥다.)"
3,2,접속사(因为所以/虽然但是),"因为...所以...는 '~때문에 그래서 ~하다'라는 인과관계를, 虽然...但是...는 '비록 ~이지만'이라는 역접을 나타냅니다. 예문: 因为下雨,所以我没去。虽然很累,但是很开心。(비가 와서 나는 가지 않았다. 비록 피곤하지만 즐거웠다.)"
3,2,연동문,연동문은 한 문장 안에 동사가 두 개 이상 연이어 나오며 동작이 일어나는 순서대로 배열됩니다. 형태: 주어 + 동사1 + 동사2. 예문: 我去图书馆看书。(나는 도서관에 가서 책을 본다.)
