lang_id,level,word,meaning,example
5,1,bonjour,안녕하세요,"Bonjour, comment allez-vous ?"
5,1,merci,감사합니다,Merci beaucoup pour votre aide.
5,1,maison,집,J'habite dans une petite maison.
5,1,famille,가족,Ma famille est très grande.
5,1,ami,친구,Il est mon meilleur ami.
5,1,école,학교,Les enfants vont à l'école le matin.
5,1,livre,책,Je lis un livre intéressant.
5,1,eau,물,Je bois de l'eau chaque matin.
5,1,pain,빵,Nous achetons du pain frais.
5,1,lait,우유,L'enfant boit du lait chaud.
5,1,pomme,사과,Elle mange une pomme rouge.
5,1,voiture,자동차,Il conduit une voiture bleue.
5,1,rue,거리,La boulangerie est dans cette rue.
5,1,ville,도시,Paris est une grande ville.
5,1,jour,"날, 하루",Aujourd'hui est un beau jour.
5,1,nuit,밤,Il travaille souvent la nuit.
5,1,matin,아침,Je me lève tôt le matin.
5,1,soir,저녁,Nous dînons ensemble le soir.
5,1,semaine,주(일주일),"La semaine prochaine, je pars en vacances."
5,1,mois,"달, 월",Le mois de juillet est très chaud.
5,1,année,년,"Cette année, j'apprends le français."
5,1,travail,"일, 직장",Il cherche un nouveau travail.
5,1,chambre,방,Sa chambre est très propre.
5,1,table,탁자,Les livres sont sur la table.
5,1,chaise,의자,Assieds-toi sur cette chaise.
5,1,fenêtre,창문,"Ouvre la fenêtre, s'il te plaît."
5,1,porte,문,Ferme la porte derrière toi.
5,1,chien,개,Mon chien aime jouer dans le jardin.
5,1,chat,고양이,Le chat dort sur le canapé.
5,1,oiseau,새,Un oiseau chante dans l'arbre.
5,1,fleur,꽃,Elle a acheté des fleurs pour sa mère.
5,1,soleil,태양,Le soleil brille aujourd'hui.
5,1,pluie,비,Il y a beaucoup de pluie en automne.
5,1,froid,추운,Il fait très froid en hiver.
5,1,chaud,더운,Il fait chaud en été.
5,1,grand,큰,C'est un grand bâtiment.
5,1,petit,작은,Le chat est très petit.
5,1,beau,"아름다운, 멋진",Le paysage est très beau.
5,1,content,"기쁜, 만족한",Je suis content de te voir.
5,1,fatigué,피곤한,Je suis très fatigué ce soir.
5,1,professeur,"교사, 선생님",Le professeur explique la leçon.
5,1,médecin,의사,Le médecin examine le patient.
5,1,boulanger,제빵사,Le boulanger vend du pain frais.
5,1,vêtement,옷,J'achète un nouveau vêtement.
5,1,chemise,셔츠,Il porte une chemise blanche.
5,1,chaussure,신발,Ces chaussures sont très confortables.
5,1,rouge,빨간(색),Elle porte une robe rouge.
5,1,bleu,파란(색),Le ciel est bleu aujourd'hui.
5,1,tête,머리,Il a mal à la tête.
5,1,main,손,Donne-moi la main.
5,2,rencontrer,만나다,J'ai rencontré un ami au marché.
5,2,voyage,여행,Notre voyage en Italie était magnifique.
5,2,billet,"표, 티켓",J'ai acheté un billet de train.
5,2,valise,여행가방,Elle a préparé sa valise pour le voyage.
5,2,aéroport,공항,Nous sommes arrivés à l'aéroport tôt.
5,2,hôtel,호텔,L'hôtel est près de la plage.
5,2,restaurant,식당,On mange souvent dans ce restaurant.
5,2,cuisine,"요리, 부엌",La cuisine française est délicieuse.
5,2,addition,계산서,"L'addition, s'il vous plaît."
5,2,dépenser,"소비하다, 쓰다",Il dépense trop d'argent.
5,2,gagner,"벌다, 이기다",Elle gagne bien sa vie.
5,2,économiser,절약하다,Nous essayons d'économiser de l'argent.
5,2,métier,직업,Quel est votre métier ?
5,2,entreprise,"회사, 기업",Il travaille dans une grande entreprise.
5,2,collègue,동료,Mes collègues sont très sympathiques.
5,2,réunion,회의,La réunion commence à dix heures.
5,2,horaire,시간표,L'horaire du bus a changé.
5,2,retard,"지각, 지연",Le train a du retard.
5,2,quartier,"동네, 구역",J'aime beaucoup ce quartier.
5,2,voisin,이웃,Mon voisin est très gentil.
5,2,déménager,이사하다,Ils vont déménager le mois prochain.
5,2,loyer,"집세, 임대료",Le loyer a augmenté cette année.
5,2,propriétaire,"집주인, 소유자",Le propriétaire habite à l'étage.
5,2,santé,건강,Il faut prendre soin de sa santé.
5,2,maladie,"병, 질병",Cette maladie est très courante.
5,2,médicament,약,Elle prend un médicament chaque matin.
5,2,blessé,다친,Il est blessé à la jambe.
5,2,inquiet,걱정하는,Elle est inquiète pour son examen.
5,2,déçu,실망한,Il est déçu par le résultat.
5,2,surpris,놀란,Nous étions surpris par la nouvelle.
5,2,paysage,풍경,Le paysage de montagne est magnifique.
5,2,forêt,숲,Nous avons marché dans la forêt.
5,2,montagne,산,Ils font de la randonnée en montagne.
5,2,plage,해변,Les enfants jouent sur la plage.
5,2,rivière,강,La rivière traverse la ville.
5,2,loisir,여가,La lecture est mon loisir préféré.
5,2,spectacle,공연,Nous avons vu un spectacle hier soir.
5,2,billetterie,매표소,La billetterie ouvre à neuf heures.
5,2,abonnement,"정기구독, 회원권",J'ai un abonnement au cinéma.
5,2,réduction,할인,Il y a une réduction pour les étudiants.
5,2,pied,발,J'ai mal au pied.
5,2,magasin,"가게, 상점",Le magasin ferme à vingt heures.
5,2,gauche,왼쪽,Tournez à gauche au feu rouge.
5,2,droite,오른쪽,Le musée est à droite de la banque.
5,2,boutique,"부티크, 소규모 상점",Elle a ouvert une petite boutique de vêtements.
5,2,vendeur,판매원,Le vendeur m'a bien conseillé.
5,2,client,고객,Ce magasin a beaucoup de clients.
5,2,prix,가격,Le prix a beaucoup augmenté.
5,2,marché,시장,Nous faisons les courses au marché le samedi.
5,2,direction,방향,Vous allez dans la mauvaise direction.
5,3,environnement,환경,Il faut protéger l'environnement.
5,3,pollution,오염,La pollution de l'air augmente en ville.
5,3,recyclage,재활용,Le recyclage est important pour la planète.
5,3,économie,경제,L'économie du pays se développe rapidement.
5,3,société,사회,La société change constamment.
5,3,gouvernement,정부,Le gouvernement a annoncé de nouvelles mesures.
5,3,élection,선거,Les élections auront lieu en mai.
5,3,citoyen,시민,Chaque citoyen a le droit de vote.
5,3,loi,법,Cette loi a été votée l'année dernière.
5,3,justice,"정의, 사법",Elle croit fermement en la justice.
5,3,entretien,"면접, 인터뷰",Il a un entretien d'embauche demain.
5,3,carrière,"경력, 커리어",Elle a fait une belle carrière.
5,3,formation,"교육, 연수",Cette formation dure six mois.
5,3,compétence,"능력, 역량",Il a de bonnes compétences en informatique.
5,3,responsabilité,책임,C'est une grande responsabilité.
5,3,avantage,"장점, 이점",Ce travail a plusieurs avantages.
5,3,inconvénient,단점,Chaque solution a ses inconvénients.
5,3,exigence,요구사항,Le poste a des exigences précises.
5,3,négocier,협상하다,Ils négocient un nouveau contrat.
5,3,accord,"합의, 협정",Les deux pays ont signé un accord.
5,3,conflit,"갈등, 분쟁",Le conflit a duré plusieurs années.
5,3,solution,해결책,Nous devons trouver une solution rapide.
5,3,objectif,목표,Notre objectif est d'améliorer la qualité.
5,3,stratégie,전략,L'entreprise a changé de stratégie.
5,3,progrès,"발전, 진보",La médecine a fait beaucoup de progrès.
5,3,évolution,"변화, 진화",L'évolution de la technologie est rapide.
5,3,tendance,"경향, 트렌드",Cette tendance devient de plus en plus populaire.
5,3,comportement,행동,Son comportement a beaucoup changé.
5,3,attitude,태도,Elle a une attitude positive.
5,3,opinion,의견,Chacun a le droit d'avoir son opinion.
5,3,débat,토론,Le débat était très animé.
5,3,argument,"논거, 주장",Il a présenté un bon argument.
5,3,preuve,증거,Il n'y a aucune preuve de ce fait.
5,3,conséquence,"결과, 결말",Cette décision aura des conséquences importantes.
5,3,cause,원인,Quelle est la cause de ce problème ?
5,3,facteur,요인,Plusieurs facteurs expliquent ce résultat.
5,3,phénomène,현상,Ce phénomène intéresse les scientifiques.
5,3,avenir,미래,Personne ne connaît l'avenir.
5,3,époque,시대,"À cette époque, la vie était différente."
