level,subject,problem,answer
1,です/ます체(정중형),私は学生___。,です
1,です/ます체(정중형),毎朝コーヒーを飲み___。,ます
1,です/ます체(정중형),これは本___。,です
1,い형용사/な형용사 현재형,この花は___(예쁘다:きれい)です。,きれい
1,い형용사/な형용사 현재형,この本は___(재밌다:おもしろい)です。,おもしろい
1,い형용사/な형용사 현재형,彼は___(친절하다:親切)な人です。,親切
1,명사문 부정형,彼は先生___。,ではありません
1,명사문 부정형,これは日本の車___。,ではありません
1,명사문 부정형,今日は休み___。,ではありません
1,지시대명사(これ/それ/あれ),___(이것)は私の傘です。,これ
1,지시대명사(これ/それ/あれ),___(저것)は富士山です。,あれ
1,지시대명사(これ/それ/あれ),___(그) 本は面白いです。,その
1,조사 は・が,私___日本語を勉強しています。,は
1,조사 は・が,誰___来ましたか。,が
1,조사 は・が,これ___私の本です。,は
1,조사 を・に・で,図書館___本を読みます。,で
1,조사 を・に・で,コーヒー___飲みます。,を
1,조사 を・に・で,学校___行きます。,に
1,존재표현(あります/います),机の上に本が___。,あります
1,존재표현(あります/います),庭に猫が___。,います
1,존재표현(あります/います),教室に学生が___。,います
1,동사 ます형(현재/미래),明日、友達に___(만나다:会う)。,会います
1,동사 ます형(현재/미래),毎日新聞を___(읽다:読む)。,読みます
1,동사 ます형(현재/미래),週末に映画を___(보다:見る)。,見ます
2,동사 て형,朝ご飯を___(먹다:食べる)、学校に行きます。,食べて
2,동사 て형,友達に___(만나다:会う)、話しました。,会って
2,동사 て형,本を___(읽다:読む)、寝ました。,読んで
2,て형 활용(허가/금지),ここで写真を撮___もいいです。,って
2,て형 활용(허가/금지),教室でタバコを吸___はいけません。,って
2,て형 활용(허가/금지),ここに入___もいいですか。,って
2,동사 た형(과거),昨日映画を___(보다:見る)。,見ました
2,동사 た형(과거),先週日本に___(가다:行く)。,行きました
2,동사 た형(과거),今朝早く___(일어나다:起きる)。,起きました
2,동사 ない형(부정),今日は勉強___(하지않다:する)。,しません
2,동사 ない형(부정),彼はお酒を___(마시지 않다:飲む)。,飲みません
2,동사 ない형(부정),明日は学校に___(가지 않다:行く)。,行きません
2,희망표현(たい),日本に___(가고 싶다:行く)です。,行きたい
2,희망표현(たい),水を___(마시고 싶다:飲む)です。,飲みたい
2,희망표현(たい),新しい車を___(사고 싶다:買う)です。,買いたい
2,경험표현(たことがある),日本に___(간 적이 있다:行く)ことがあります。,行った
2,경험표현(たことがある),寿司を___(먹은 적이 있다:食べる)ことがあります。,食べた
2,경험표현(たことがある),富士山を___(본 적이 있다:見る)ことがあります。,見た
2,동시동작(ながら),音楽を聞き___、勉強します。,ながら
2,동시동작(ながら),テレビを見___、ご飯を食べます。,ながら
2,동시동작(ながら),歩き___、電話で話します。,ながら
2,조사 から・まで,九時___五時まで働きます。,から
2,조사 から・まで,駅___家まで歩きます。,から
2,조사 から・まで,月曜日から金曜日___学校があります。,まで
2,비교표현(より/ほど),東京は大阪___大きいです。,より
2,비교표현(より/ほど),今年は去年___寒くないです。,ほど
2,비교표현(より/ほど),彼は私___若いです。,より
2,이유표현(から/ので),雨が降っている___、傘を持って行きます。,ので
2,이유표현(から/ので),時間がない___、急いでください。,から
2,이유표현(から/ので),疲れた___、早く寝ます。,ので
3,가능형,日本語が___(말할 수 있다:話す)。,話せます
3,가능형,漢字が___(읽을 수 있다:読む)。,読めます
3,가능형,朝早く___(일어날 수 있다:起きる)。,起きられます
3,수동형,先生に___(칭찬받다:褒める)。,褒められました
3,수동형,犬に___(물리다:噛む)。,噛まれました
3,수동형,雨に___(맞다:降る)。,降られました
3,사역형,子供に野菜を___(먹게하다:食べる)。,食べさせます
3,사역형,生徒に本を___(읽게 하다:読む)。,読ませます
3,사역형,娘を早く___(자게 하다:寝る)。,寝させます
3,조건표현(と/たら),このボタンを押す___、電気がつきます。,と
3,조건표현(と/たら),天気がよかっ___、散歩に行きます。,たら
3,조건표현(と/たら),時間があっ___、映画を見ます。,たら
3,조건표현(ば),雨が___(내리면:降る)、家にいます。,降れば
3,조건표현(ば),お金が___(있으면:ある)、旅行します。,あれば
3,조건표현(ば),早く___(가면:行く)、間に合います。,行けば
3,의지형(よう),一緒に映画を___(보자:見る)か。,見よう
3,의지형(よう),そろそろ___(가자:行く)。,行こう
3,의지형(よう),頑張って___(공부하자:勉強する)。,勉強しよう
3,전문표현(そうです),天気予報によると、明日は雨だ___。,そうです
3,전문표현(そうです),彼はもう国に___(돌아갔다고:帰る)そうです。,帰った
3,전문표현(そうです),このレストランはおいしい___。,そうです
3,양태표현(そうです),このケーキはおいし___。,そうです
3,양태표현(そうです),雨が___(올 것 같다:降る)そうです。,降り
3,양태표현(そうです),彼は元気___。,そうです
3,추측표현(ようです/みたいです),誰かがいる___。,ようです
3,추측표현(ようです/みたいです),彼は忙しい___。,みたいです
