level,subject
1,ser/estar 현재형 구분
1,명사의 성과 수
1,관사(정관사/부정관사)
1,규칙동사 현재형(-ar/-er/-ir)
1,주격·소유격 대명사
1,지시대명사(este/ese/aquel)
1,hay(존재표현)
1,기본 의문문·부정문
2,불규칙동사 현재형
2,재귀동사
2,단순과거(pretérito indefinido)
2,불완료과거(imperfecto)
2,근접미래(ir a+동사원형)
2,비교급·최상급
2,목적격대명사(직접/간접)
2,gustar류 동사
2,전치사(por/para)
2,부사·빈도표현
3,현재완료(pretérito perfecto)
3,과거완료(pluscuamperfecto)
3,단순과거 vs 불완료과거
3,미래형(futuro simple)
3,명령법(긍정)
3,명령법(부정)
3,접속법 현재 기초
3,조건법(condicional simple)
3,관계대명사(que/quien)
3,재귀동사 심화
3,이중목적격대명사
3,부정어(nada/nadie/nunca)
4,접속법 현재 심화(감정/의심)
4,접속법 과거(imperfecto de subjuntivo)
4,가정문(si+접속법과거)
4,완료접속법(perfecto de subjuntivo)
4,por/para 심화
4,수동태(ser+과거분사)
4,재귀수동문(se pasiva)
4,간접화법
4,관계절 심화(el que/lo que)
4,양보(aunque)
4,강조구문(lo que...es)
4,완료조건법(condicional compuesto)
5,접속법 대과거
5,가정법 3형식
5,접속사 심화(a pesar de que/siempre que)
5,강조·도치구문
5,관용 접속법 표현(ojalá/quizás)
5,담화표지 심화(sin embargo/no obstante)
5,명사화 구문
5,완곡화법(condicional de cortesía)
5,병렬구조
5,부정어 강조(en absoluto/ni siquiera)
6,문어체 접속법 활용
6,고급 도치·강조
6,관용구·숙어표현
6,학술적 글쓰기 문형
6,생략과 대용
6,뉘앙스 조동사 조합(deber de/poder)
6,문체적 격식 표현
6,화용론적 공손 표현
