level,subject
1,essere/avere 현재형
1,명사의 성과 수
1,관사(정관사/부정관사)
1,규칙동사 현재형(-are/-ere/-ire)
1,주격·소유형용사
1,지시형용사(questo/quello)
1,c'è/ci sono(존재표현)
1,기본 의문문·부정문
2,불규칙동사 현재형(andare/fare/potere)
2,재귀동사
2,근과거(avere)
2,근과거(essere)
2,근접미래(stare per/andare a)
2,비교급·최상급
2,목적격대명사(직접/간접)
2,전치사관사결합
2,piacere류 동사
2,부사·빈도표현
3,반과거(imperfetto)
3,근과거 vs 반과거
3,단순미래(futuro semplice)
3,명령법
3,접속법 현재 기초
3,조건법 현재
3,관계대명사(che/cui)
3,강조대명사(me/te)
3,대명사 ne/ci
3,이중목적격대명사
3,부정표현 심화(non...mai/niente/nessuno)
3,비교구문 심화(lo stesso di)
4,접속법 현재 심화(감정/의심)
4,대과거
4,조건법 과거
4,가정문(se+접속법 반과거)
4,가정문 심화(se+접속법 대과거)
4,수동태
4,관계대명사 심화(il quale/cui+전치사)
4,간접화법
4,강조구문(è...che)
4,양보(benché/sebbene)
4,제룬디오(gerundio)
4,대명사 결합(ce lo/te lo)
5,접속법 과거
5,문어체 접속법 심화
5,접속사 심화(affinché/purché)
5,강조·도치구문
5,관용 접속법 표현(magari/come se)
5,담화표지 심화(tuttavia/nondimeno)
5,명사화 구문
5,완곡화법(condizionale di cortesia)
5,병렬구조
5,부정어 강조(affatto/nemmeno)
6,문어체 단순과거(passato remoto)
6,고급 도치·강조
6,관용구·숙어표현
6,학술적 글쓰기 문형
6,생략과 대용
6,뉘앙스 조동사 조합(dovere/potere)
6,문체적 격식 표현
6,화용론적 공손 표현
