level,subject
1,être/avoir 현재형
1,명사의 성과 수
1,관사(정/부정/부분)
1,규칙동사 현재형(-er/-ir/-re)
1,주격·소유형용사
1,지시형용사(ce/cet/cette/ces)
1,il y a(존재표현)
1,기본 의문문·부정문(ne...pas)
2,불규칙동사 현재형
2,대명동사(재귀)
2,복합과거(avoir)
2,복합과거(être)
2,근접미래(aller+동사원형)
2,비교급·최상급
2,목적격대명사(직접/간접)
2,전치사(à/de)
2,부분관사·수량표현
2,빈도부사
3,반과거(imparfait)
3,복합과거 vs 반과거
3,단순미래(futur simple)
3,명령법
3,접속법 현재 기초
3,조건법 현재
3,관계대명사(qui/que)
3,강조대명사(moi/toi)
3,대명사 en/y
3,이중목적격대명사
3,부정표현 심화(ne...jamais/rien/personne)
3,비교구문 심화(le même que)
4,접속법 현재 심화(감정/의심)
4,대과거(plus-que-parfait)
4,조건법 과거
4,가정문(si+반과거)
4,가정문 심화(si+대과거)
4,수동태
4,관계대명사 심화(dont/lequel)
4,간접화법
4,강조구문(c'est...qui/que)
4,양보(bien que/quoique)
4,제롱디프(en+현재분사)
4,대명사 순서 심화
5,접속법 과거
5,문어체 접속법(imparfait/plus-que-parfait du subjonctif)
5,접속사 심화(à moins que)
5,강조·도치구문
5,관용 접속법 표현(pourvu que)
5,담화표지 심화(cependant/néanmoins)
5,명사화 구문
5,완곡화법(conditionnel de politesse)
5,병렬구조
5,부정어 강조(ne...aucunement/même pas)
6,문어체 단순과거(passé simple)
6,고급 도치·강조
6,관용구·숙어표현
6,학술적 글쓰기 문형
6,생략과 대용
6,뉘앙스 조동사 조합(devoir/pouvoir)
6,문체적 격식 표현
6,화용론적 공손 표현
