level,subject
1,인칭대명사·호칭어
1,là 동사(~이다)
1,형용사서술문
1,지시사(này/đó/kia)
1,존재표현 có
1,시제표시어(đã/đang/sẽ)
1,기본 의문문(có...không/gì/ai/đâu)
1,부정문(không/chưa)
2,분류사(cái/con/quyển)
2,수량표현과 어순
2,정도부사(rất/lắm/quá)
2,비교표현(hơn/bằng/nhất)
2,접속사(và/nhưng/vì...nên)
2,전치사(ở/đến/từ)
2,완료상 rồi
2,경험표현(đã...chưa/từng)
2,명령문(hãy/đừng/chớ)
2,부가의문문(phải không)
3,동시동작(vừa...vừa)
3,조건문(nếu...thì)
3,양보표현(tuy...nhưng)
3,목적표현(để)
3,사동표현(làm cho/khiến)
3,피동표현(bị/được)
3,관계절(mà)
3,정도보어 심화
3,결과보어(được/xong/hết)
3,방향보어(ra/vào/lên/xuống)
3,강조표현(chính/ngay cả)
3,재귀·상호표현(nhau/tự mình)
4,이중부정
4,양보강조(dù...cũng)
4,추측표현(có lẽ/chắc là/hình như)
4,인용·전언표현(nghe nói/theo như)
4,강조부사(ngay/mới/chỉ)
4,접속부사 심화(vì vậy/do đó/tuy nhiên)
4,조건 심화(giá mà/nếu như)
4,화제화 구문(còn...thì)
4,결과구문(đến nỗi)
4,겸어문(mời/bảo/yêu cầu)
4,관형어 심화
4,시간표현 심화(vừa mới/sắp)
5,격식체 접속사(bởi vì/do vậy)
5,강조도치(chính là...mới)
5,완곡화법(có thể nói là)
5,담화표지 심화(tuy nhiên/hơn nữa)
5,명사화 구문(việc/sự)
5,존대·공손표현(xin/kính)
5,병렬구조
5,부정어 강조(chẳng hề/không hề)
5,양태조동사 조합
5,강조구문(chính...là)
6,문어체·한자어 표현
6,고급 담화표지(vả lại/hơn thế nữa)
6,관용구·성어표현
6,학술적 글쓰기 문형
6,생략과 대용
6,뉘앙스 조동사 조합(có lẽ...chăng)
6,문체적 격식 표현
6,화용론적 공손 표현(정중한 요청)
