level,subject
1,sein/haben 현재형
1,명사의 성과 관사(der/die/das)
1,명사의 복수형
1,규칙동사 현재형 어미변화
1,인칭대명사·소유관사
1,지시대명사(dieser/jener)
1,es gibt(존재표현)
1,기본 의문문·부정문(nicht/kein)
2,격변화 기초(Akkusativ)
2,격변화 기초(Dativ)
2,분리동사
2,화법조동사(können/müssen/wollen)
2,과거형(Präteritum: sein/haben)
2,현재완료(Perfekt)
2,전치사(in/an/auf)
2,비교급·최상급
2,재귀동사
2,부사·빈도표현
3,형용사 어미변화(정관사류)
3,형용사 어미변화(부정관사류)
3,종속접속사·어순(weil/dass/wenn)
3,관계대명사(격변화)
3,2격(Genitiv)
3,수동태(현재)
3,접속법 2식 기초(würde)
3,명령법
3,da-/wo-복합어
3,zu부정사구문
3,부문장 어순 심화
3,전치사+격 심화(mit/nach/bei)
4,수동태 심화(과거/화법조동사)
4,접속법 2식 심화(가정법)
4,접속법 1식(간접화법)
4,관계대명사 심화(전치사+관계대명사)
4,분사구문
4,확장관형구
4,이중접속사(entweder...oder)
4,양보접속사(obwohl/trotzdem)
4,목적문(damit/um...zu)
4,명사화(동사→명사)
4,화법조동사 심화(주관적 추측)
4,문장부사와 어순 뉘앙스
5,접속법 1식 심화(보도체)
5,수동태 대용구문(sein+zu/lassen+sich)
5,격식체 접속사(zumal/sofern)
5,강조·도치구문
5,관용 접속법 표현(sollte/als ob)
5,담화표지 심화(jedoch/dennoch)
5,명사화 구문 심화
5,완곡화법(Konjunktiv 공손)
5,병렬구조
5,부정어 강조(keineswegs/nicht einmal)
6,문어체 격변화 잔재표현
6,고급 도치·강조
6,관용구·숙어표현
6,학술적 글쓰기 문형
6,생략과 대용
6,뉘앙스 조동사 조합(dürfte/müsste)
6,문체적 격식 표현
6,화용론적 공손 표현
