level,subject,problem,answer
1,인칭대명사·호칭어,___ tên là gì? (너:손아랫사람),Em
1,인칭대명사·호칭어,___ là bác sĩ. (그:손윗사람 남성),Anh
1,인칭대명사·호칭어,"___ ơi, cho tôi hỏi. (아주머니:호칭)",Chị
1,là 동사(~이다),Tôi ___ sinh viên.,là
1,là 동사(~이다),Đây ___ sách của tôi.,là
1,là 동사(~이다),Anh ấy ___ bác sĩ.,là
1,형용사서술문,Cô ấy ___(예쁘다:đẹp).,đẹp
1,형용사서술문,Món ăn này ___(맛있다:ngon).,ngon
1,형용사서술문,Trời hôm nay ___(덥다:nóng).,nóng
1,지시사(này/đó/kia),Quyển sách ___ rất hay. (이:này),này
1,지시사(này/đó/kia),Cái bàn ___ là của tôi. (그:đó),đó
1,지시사(này/đó/kia),Ngôi nhà ___ rất đẹp. (저:kia),kia
1,존재표현 có,Tôi ___ một quyển sách.,có
1,존재표현 có,Trên bàn ___ nhiều sách.,có
1,존재표현 có,Tôi không ___ tiền. (없다),có
1,시제표시어(đã/đang/sẽ),Tôi ___ ăn cơm rồi. (과거),đã
1,시제표시어(đã/đang/sẽ),Tôi ___ học tiếng Việt. (현재진행),đang
1,시제표시어(đã/đang/sẽ),Ngày mai tôi ___ đi Hà Nội. (미래),sẽ
1,기본 의문문(có...không/gì/ai/đâu),Bạn ___ khỏe không?,có
1,기본 의문문(có...không/gì/ai/đâu),Bạn tên là ___?,gì
1,기본 의문문(có...không/gì/ai/đâu),Bạn đi ___?,đâu
1,부정문(không/chưa),Tôi ___ thích cà phê. (안좋아하다),không
1,부정문(không/chưa),Tôi ___ ăn cơm. (아직~않다),chưa
1,부정문(không/chưa),Anh ấy ___ đến. (아직 안 왔다),chưa
2,분류사(cái/con/quyển),Tôi có hai ___ sách. (책 분류사),quyển
2,분류사(cái/con/quyển),Cô ấy có một ___ mèo. (동물 분류사),con
2,분류사(cái/con/quyển),Đây là ___ bàn mới. (무생물 분류사),cái
2,수량표현과 어순,Tôi có ___ bạn. (많은:nhiều),nhiều
2,수량표현과 어순,Cô ấy có ___ tiền. (적은:ít),ít
2,수량표현과 어순,Tôi có ba ___ bút. (자루 분류사:cây),cây
2,정도부사(rất/lắm/quá),Món này ___ ngon. (형용사 앞:rất),rất
2,정도부사(rất/lắm/quá),Món này ngon ___. (형용사 뒤:lắm),lắm
2,정도부사(rất/lắm/quá),Trời hôm nay nóng ___. (너무:quá),quá
2,비교표현(hơn/bằng/nhất),Cô ấy cao ___ tôi. (~보다),hơn
2,비교표현(hơn/bằng/nhất),Cô ấy cao ___ lớp. (가장),nhất
2,비교표현(hơn/bằng/nhất),Tôi cao ___ anh ấy. (~만큼),bằng
2,접속사(và/nhưng/vì...nên),"Tôi thích trà, ___ tôi cũng thích cà phê.",nhưng
2,접속사(và/nhưng/vì...nên),___ trời mưa nên tôi ở nhà.,Vì
2,접속사(và/nhưng/vì...nên),Vì trời mưa ___ tôi ở nhà.,nên
2,전치사(ở/đến/từ),Tôi sống ___ Hà Nội. (~에서),ở
2,전치사(ở/đến/từ),Tôi đi ___ nhà đến trường. (부터),từ
2,전치사(ở/đến/từ),Anh ấy đi ___ Hà Nội. (~으로),đến
2,완료상 rồi,Tôi ăn cơm ___.,rồi
2,완료상 rồi,Anh ấy đi ___.,rồi
2,완료상 rồi,Tôi làm xong bài tập ___.,rồi
2,경험표현(đã...chưa/từng),Bạn đã đi Việt Nam ___?,chưa
2,경험표현(đã...chưa/từng),Tôi ___ đi Việt Nam. (경험이 있다),từng
2,경험표현(đã...chưa/từng),Tôi ___ ăn món này bao giờ. (한번도~않다),chưa
2,명령문(hãy/đừng/chớ),___ đi ngủ sớm. (권유),Hãy
2,명령문(hãy/đừng/chớ),___ làm ồn. (금지),Đừng
2,명령문(hãy/đừng/chớ),___ lo lắng. (걱정하지 마),Đừng
2,부가의문문(phải không),"Bạn là sinh viên, ___?",phải không
2,부가의문문(phải không),"Anh ấy đã đi rồi, ___?",phải không
2,부가의문문(phải không),"Món này ngon, ___?",phải không
3,동시동작(vừa...vừa),Tôi ___ ăn ___ xem tivi.,vừa
3,동시동작(vừa...vừa),Cô ấy vừa hát ___ nhảy.,vừa
3,동시동작(vừa...vừa),Anh ấy vừa đi ___ nói chuyện điện thoại.,vừa
3,조건문(nếu...thì),___ trời mưa thì tôi ở nhà.,Nếu
3,조건문(nếu...thì),Nếu trời mưa ___ tôi ở nhà.,thì
3,조건문(nếu...thì),"Nếu bạn không hiểu, ___ hỏi giáo viên.",thì
3,양보표현(tuy...nhưng),___ trời mưa nhưng tôi vẫn đi học.,Tuy
3,양보표현(tuy...nhưng),Tuy trời mưa ___ tôi vẫn đi học.,nhưng
3,양보표현(tuy...nhưng),Tuy mệt ___ anh ấy vẫn làm việc.,nhưng
3,목적표현(để),Tôi học tiếng Việt ___ đi du lịch.,để
3,목적표현(để),Tôi tiết kiệm tiền ___ mua nhà.,để
3,목적표현(để),Anh ấy dậy sớm ___ tập thể dục.,để
3,사동표현(làm cho/khiến),Tin này ___ cho tôi vui.,làm
3,사동표현(làm cho/khiến),Câu chuyện đó ___ mọi người cười. (khiến),khiến
3,사동표현(làm cho/khiến),Lời nói của anh ấy làm ___ tôi buồn.,cho
3,피동표현(bị/được),Tôi ___ khen. (긍정),được
3,피동표현(bị/được),Tôi ___ phạt. (부정),bị
3,피동표현(bị/được),Anh ấy ___ mời đi ăn tối. (긍정),được
3,관계절(mà),Quyển sách ___ tôi đọc rất hay.,mà
3,관계절(mà),Người ___ tôi gặp hôm qua là bạn tôi.,mà
3,관계절(mà),Đây là món ăn ___ tôi thích nhất.,mà
3,정도보어 심화,Món này ngon ___ đi mất. (너무:quá),quá
3,정도보어 심화,Trời hôm nay lạnh ___ chịu nổi. (không thể),không thể
3,정도보어 심화,Cô ấy đẹp ___ tưởng tượng được. (không thể),không thể
3,결과보어(được/xong/hết),Tôi làm ___ bài tập rồi. (완료:xong),xong
