lang_id,level,subject,grammar_expl
7,1,essere/avere 현재형,"essere(~이다)와 avere(가지다)는 이탈리아어의 가장 기본적인 두 동사로, 불규칙 활용을 하며 복합시제의 조동사로도 쓰입니다. 형태: io sono/ho, tu sei/hai, lui è/ha. 예문: Sono studente e ho vent'anni. (나는 학생이고 스무 살이다.)"
7,1,명사의 성과 수,"이탈리아어 명사는 남성/여성으로 구분되며(대개 -o는 남성, -a는 여성), 복수형은 -o→-i, -a→-e로 바뀝니다. 형태: 명사(단/복수) + 형용사(성·수 일치). 예문: I libri rossi sono qui. (빨간 책들이 여기 있다.)"
7,1,관사(정관사/부정관사),"정관사(il/lo/la/i/gli/le)는 특정 대상을, 부정관사(un/uno/una)는 불특정 대상을 가리키며, 명사의 성·수·첫글자에 따라 형태가 달라집니다. 예문: Ho un cane. Il cane è molto simpatico. (나는 개가 한 마리 있다. 그 개는 매우 사랑스럽다.)"
7,1,규칙동사 현재형(-are/-ere/-ire),"규칙동사는 어미(-are/-ere/-ire)에 따라 인칭별로 정해진 어미변화를 합니다. 형태: parlare→parlo/parli/parla, credere→credo/credi/crede. 예문: Parlo italiano e credo in te. (나는 이탈리아어를 하고 너를 믿는다.)"
7,1,주격·소유형용사,"주격대명사(io, tu, lui...)는 주어를, 소유형용사(mio, tuo, suo...)는 명사의 성·수에 따라 형태가 바뀌며 보통 정관사와 함께 씁니다. 예문: Ho la mia macchina. (나는 내 소유의 차가 있다.)"
7,1,지시형용사(questo/quello),"questo는 화자와 가까운 것을, quello는 먼 것을 가리키며, quello는 명사 앞에서 정관사처럼 형태가 변합니다. 예문: Questo libro è mio, quello è tuo. (이 책은 내 것이고, 저것은 네 것이다.)"
7,1,c'è/ci sono(존재표현),"c'è는 단수 명사의 존재를, ci sono는 복수 명사의 존재를 나타냅니다. 형태: c'è/ci sono + 명사. 예문: Ci sono molti libri sul tavolo. (책상 위에 책이 많이 있다.)"
7,1,기본 의문문·부정문,"의문문은 평서문과 어순이 같고 억양만 올리며, 부정문은 동사 앞에 non을 넣습니다. 형태: 주어 + non + 동사. 예문: Parli inglese? No, non parlo inglese. (영어 할 줄 알아? 아니, 나 영어 못해.)"
7,2,불규칙동사 현재형(andare/fare/potere),"andare, fare, potere 등 자주 쓰이는 동사는 불규칙 현재형 활용을 가지므로 따로 암기해야 합니다. 예문: Vado a scuola. Posso aiutarti. (나는 학교에 간다. 나는 너를 도울 수 있다.)"
7,2,재귀동사,"재귀동사는 주어가 자기 자신에게 행하는 동작을 나타내며, 재귀대명사(mi, ti, si, ci, vi, si)와 함께 씁니다. 예문: Mi alzo alle sette. (나는 7시에 일어난다.)"
7,2,근과거(avere),"근과거는 대부분의 동사에서 avere(현재) + 과거분사로 만들며, 과거에 완료된 사건을 나타냅니다. 형태: avere + 과거분사. 예문: Ho mangiato una mela. (나는 사과를 하나 먹었다.)"
