lang_id,level,word,meaning,example
1,1,action,"행동, 조치",The police took quick action to stop the fire.
1,1,activity,활동,Swimming is her favorite activity.
1,1,actor,배우(남),He wants to be an actor.
1,1,actress,배우(여),She is a famous actress.
1,1,address,주소,Can you tell me your address?
1,1,adult,"성인, 어른",This movie is only for adults.
1,1,advice,조언,My teacher gave me good advice.
1,1,afraid,무서워하는,I am afraid of dogs.
1,1,afternoon,오후,We will meet in the afternoon.
1,1,agree,동의하다,I agree with your idea.
1,1,air,공기,The air here is very clean.
1,1,airport,공항,We arrived at the airport early.
1,1,angry,화난,She was angry with her brother.
1,1,animal,동물,Lions are wild animals.
1,1,answer,"대답, 답",Please write your answer here.
1,1,apartment,아파트,They live in a small apartment.
1,1,apple,사과,I ate an apple for breakfast.
1,1,area,"지역, 구역",This is a quiet area of the city.
1,1,arm,팔,He broke his arm last week.
1,1,arrive,도착하다,The train will arrive at noon.
1,1,art,"미술, 예술",She studies art at school.
1,1,artist,"예술가, 화가",He is a talented artist.
1,1,aunt,"이모, 고모",My aunt lives in Seoul.
1,1,baby,아기,The baby is sleeping now.
1,1,bag,가방,I put my books in my bag.
1,1,ball,공,The children are playing with a ball.
1,1,banana,바나나,She had a banana for a snack.
1,1,bath,목욕,He takes a bath every night.
1,1,bathroom,"욕실, 화장실",The bathroom is upstairs.
1,1,beach,해변,We spent the day at the beach.
1,1,beautiful,아름다운,The sunset was beautiful.
1,1,bed,침대,She is lying on the bed.
1,1,bedroom,침실,My bedroom is very small.
1,1,begin,시작하다,The class will begin at nine.
1,1,believe,믿다,I believe you.
1,1,bicycle,자전거,He rides his bicycle to school.
1,1,bird,새,A bird is singing outside.
1,1,birthday,생일,Today is my birthday.
1,1,book,책,She is reading a book.
1,1,bottle,병,He drank a bottle of water.
1,2,ability,능력,She has the ability to solve hard problems.
1,2,accident,사고,There was a car accident this morning.
1,2,achieve,"성취하다, 이루다",He worked hard to achieve his goal.
1,2,active,활동적인,My grandmother is very active for her age.
1,2,adventure,모험,They went on an adventure in the mountains.
1,2,advantage,"장점, 이점",Speaking two languages is a big advantage.
1,2,airline,항공사,She works for a large airline.
1,2,ankle,발목,He hurt his ankle while running.
1,2,apply,"지원하다, 신청하다",I plan to apply for the job.
1,2,architect,건축가,Her father is an architect.
1,2,argue,"다투다, 논쟁하다",The two brothers often argue about small things.
1,2,army,군대,He joined the army last year.
1,2,assistant,"조수, 보조원",She works as a manager's assistant.
1,2,athlete,운동선수,The athlete trains every morning.
1,2,attack,공격,The soldiers prepared for an attack.
1,2,attend,참석하다,All students must attend the meeting.
1,2,attractive,매력적인,He has an attractive smile.
1,2,audience,"청중, 관객",The audience clapped loudly.
1,2,author,"작가, 저자",She is the author of this book.
1,2,award,상,He won an award for his painting.
1,2,background,배경,The photo has a blue background.
1,2,bear,곰,We saw a bear in the forest.
1,2,beat,"이기다, 두드리다",Our team beat the other team easily.
1,2,behavior,"행동, 태도",His behavior surprised everyone.
1,2,belong,속하다,This book belongs to me.
1,2,benefit,"혜택, 이익",Exercise has many benefits.
1,2,biology,생물학,She is studying biology at university.
1,2,birth,출생,The baby's birth was on Monday.
1,2,blank,"빈, 백지의",Please fill in the blank space.
1,2,block,"구역, 막다",The building is two blocks away.
1,2,blood,피,The doctor checked his blood pressure.
1,2,blow,불다,The wind began to blow hard.
1,2,board,"판, 이사회",He wrote the answer on the board.
1,2,boil,끓이다,She boiled some water for tea.
1,2,bone,뼈,The dog is chewing a bone.
1,2,borrow,빌리다,Can I borrow your pen?
1,2,boss,"상사, 사장",My boss is very kind.
1,2,bottom,"바닥, 맨 아래",The keys are at the bottom of the bag.
1,2,bowl,그릇,She filled the bowl with soup.
1,2,brain,뇌,The brain controls the whole body.
1,3,absolutely,"전적으로, 완전히",I absolutely agree with you.
1,3,academic,"학업의, 학문적인",He has a strong academic record.
1,3,access,"접근, 이용",Students have access to the library.
1,3,account,"계좌, 계정",She opened a bank account.
1,3,achievement,"성취, 업적",Winning the prize was a great achievement.
1,3,admire,"존경하다, 감탄하다",I really admire her courage.
1,3,admit,인정하다,He admitted his mistake.
1,3,advise,조언하다,The doctor advised him to rest.
1,3,afford,"여유가 있다, 감당하다",We can't afford a new car right now.
1,3,agent,"대리인, 중개인",She works as a travel agent.
1,3,agreement,"합의, 협정",The two companies signed an agreement.
1,3,alarm,"경보, 알람",The alarm went off at six.
1,3,album,앨범,He released a new music album.
1,3,alcohol,"술, 알코올",He doesn't drink alcohol.
1,3,ambition,"야망, 포부",Her ambition is to become a doctor.
1,3,analysis,분석,The report contains a detailed analysis.
1,3,announce,발표하다,The teacher announced the test date.
1,3,annoy,짜증나게 하다,The noise began to annoy him.
1,3,apologize,사과하다,She apologized for being late.
1,3,application,"지원서, 신청서",He submitted his job application.
1,3,appointment,"약속, 예약",I have a doctor's appointment tomorrow.
1,3,appreciate,"감사하다, 진가를 알다",I really appreciate your help.
1,3,arrest,체포하다,The police arrested the thief.
1,3,arrival,도착,We waited for her arrival.
1,3,assignment,과제,The teacher gave us a new assignment.
1,3,atmosphere,"분위기, 대기",The party had a relaxed atmosphere.
1,3,attach,"첨부하다, 붙이다",Please attach the file to your email.
1,3,attitude,태도,He has a positive attitude toward work.
1,3,attract,끌어들이다,The museum attracts many tourists.
1,3,attraction,"명소, 매력",The castle is a popular tourist attraction.
1,3,authority,"권위, 당국",The city authority closed the road.
1,3,automatic,자동의,This door is automatic.
1,3,aware,"알고 있는, 인식하는",She is aware of the problem.
1,3,backward,뒤로,He took a step backward.
1,3,bake,굽다,My mother likes to bake bread.
1,3,balance,균형,It's hard to keep your balance on ice.
1,3,ban,금지하다,The city banned smoking in parks.
1,3,base,"기초, 토대",The theory has a solid base.
1,3,battery,배터리,My phone battery is low.
1,3,battle,전투,The soldiers fought a long battle.
1,4,abandon,"버리다, 포기하다",They had to abandon the plan.
1,4,abroad,해외에,She studied abroad for two years.
1,4,absolute,절대적인,There is no absolute answer to this question.
1,4,acceptable,받아들일 수 있는,Being late is not acceptable.
1,4,accompany,"동반하다, 동행하다",He accompanied his sister to the airport.
1,4,accurate,정확한,Please give me accurate information.
1,4,accuse,"비난하다, 고발하다",They accused him of lying.
1,4,acknowledge,인정하다,She acknowledged her mistake.
1,4,acquire,"습득하다, 얻다",Children acquire language quickly.
1,4,actual,실제의,The actual cost was higher than expected.
1,4,adapt,적응하다,It took time for him to adapt to the new school.
1,4,additional,추가의,We need additional information.
1,4,adopt,"채택하다, 입양하다",The company adopted a new policy.
1,4,advance,"발전, 진보",There has been great advance in technology.
1,4,affair,"사건, 일",The trial became a national affair.
1,4,afterward,나중에,We had dinner and went for a walk afterward.
1,4,agency,"대행사, 기관",She works at an advertising agency.
1,4,agenda,"안건, 의제",The meeting agenda has five items.
