lang_id,level,word,meaning,example
3,1,你好 (nǐ hǎo),안녕하세요,你好，很高兴认识你。
3,1,谢谢 (xièxiè),감사합니다,谢谢你的帮助。
3,1,再见 (zàijiàn),안녕히 가세요,再见，明天见。
3,1,我 (wǒ),나,我是学生。
3,1,你 (nǐ),너,你叫什么名字？
3,1,他 (tā),그(남),他是我的朋友。
3,1,她 (tā),그녀,她是老师。
3,1,家 (jiā),집,我家很大。
3,1,学校 (xuéxiào),학교,我在学校学习汉语。
3,1,老师 (lǎoshī),선생님,老师很好。
3,1,学生 (xuéshēng),학생,他是一个好学生。
3,1,朋友 (péngyou),친구,他是我的好朋友。
3,1,爸爸 (bàba),아빠,爸爸在工作。
3,1,妈妈 (māma),엄마,妈妈做饭很好吃。
3,1,儿子 (érzi),아들,我儿子在大学读书。
3,1,女儿 (nǚ'ér),딸,我有一个女儿。
3,1,猫 (māo),고양이,猫在睡觉。
3,1,狗 (gǒu),개,狗喜欢跑步。
3,1,水 (shuǐ),물,我想喝水。
3,1,茶 (chá),차(음료),我想喝一杯茶。
3,1,米饭 (mǐfàn),밥,我们吃米饭。
3,1,水果 (shuǐguǒ),과일,我爱吃水果。
3,1,苹果 (píngguǒ),사과,苹果很甜。
3,1,衣服 (yīfu),옷,你的衣服很漂亮。
3,1,今天 (jīntiān),오늘,今天天气很好。
3,1,明天 (míngtiān),내일,明天见。
3,1,昨天 (zuótiān),어제,昨天下雨了。
3,1,现在 (xiànzài),지금,现在几点了？
3,1,时间 (shíjiān),시간,没有时间了。
3,1,医院 (yīyuàn),병원,他在医院工作。
3,1,医生 (yīshēng),의사,医生很忙。
3,1,商店 (shāngdiàn),가게,我去商店买东西。
3,1,火车站 (huǒchēzhàn),기차역,火车站在哪里？
3,1,出租车 (chūzūchē),택시,我们坐出租车去。
3,1,飞机 (fēijī),비행기,他坐飞机去北京。
3,1,汉语 (Hànyǔ),중국어,我会说汉语。
3,1,汉字 (Hànzì),한자,我能写一些汉字。
3,1,名字 (míngzi),이름,你叫什么名字？
3,1,桌子 (zhuōzi),탁자,书在桌子上。
3,1,椅子 (yǐzi),의자,这个椅子多少钱？
3,1,漂亮 (piàoliang),예쁜,你的衣服很漂亮。
3,1,高兴 (gāoxìng),기쁜,很高兴认识你。
3,1,冷 (lěng),추운,今天很冷。
3,1,热 (rè),더운,今天很热。
3,1,好 (hǎo),좋은,这个很好。
3,1,大 (dà),큰,这个房子很大。
3,1,小 (xiǎo),작은,这个杯子很小。
3,1,多 (duō),많은,这里的人很多。
3,1,少 (shǎo),적은,钱不少。
3,1,喜欢 (xǐhuan),좋아하다,我很喜欢这本书。
3,2,认为 (rènwéi),"생각하다, 여기다",我认为这个主意不错。
3,2,觉得 (juéde),"느끼다, 생각하다",我觉得很累。
3,2,希望 (xīwàng),"희망하다, 바라다",我希望明天不下雨。
3,2,打算 (dǎsuàn),~할 계획이다,我打算去旅行。
3,2,决定 (juédìng),결정하다,我决定学习汉语。
3,2,需要 (xūyào),필요하다,我需要一本词典。
3,2,帮助 (bāngzhù),돕다,谢谢你的帮助。
3,2,介绍 (jièshào),소개하다,请介绍一下你自己。
3,2,参加 (cānjiā),참가하다,我要参加比赛。
3,2,准备 (zhǔnbèi),준비하다,我在准备考试。
3,2,检查 (jiǎnchá),검사하다,医生给我检查身体。
3,2,复习 (fùxí),복습하다,我在复习课文。
3,2,练习 (liànxí),연습하다,多练习就会进步。
3,2,提高 (tígāo),향상시키다,我想提高我的汉语水平。
