lang_id,level,subject,grammar_expl
1,1,be동사 현재형,"영어의 be동사(am, is, are)는 사람이나 사물의 상태, 신분, 성질, 위치 등을 나타낼 때 사용하는 가장 기본적인 동사입니다. 우리말의 '~이다', '~에 있다'와 비슷한 역할을 합니다. 주어에 따라 I는 am, He/She/It은 is, You/We/They는 are를 사용합니다. 형태는 '주어 + am/is/are + 명사 또는 형용사'입니다. 예를 들어 She is a student., They are happy., I am at home.처럼 사용할 수 있습니다. 일반동사와 be동사를 함께 사용할 수 없으므로 'She is likes music.'처럼 쓰면 틀리고, 'She likes music.' 또는 'She is happy.'처럼 사용해야 합니다. 문장을 만들 때 가장 먼저 익혀야 하는 핵심 문법입니다."
1,1,일반동사 현재형,"일반동사의 현재형은 반복되는 습관, 일상적인 행동, 일반적인 사실이나 변하지 않는 진리를 나타낼 때 사용합니다. 대부분의 동사는 원형 그대로 사용하지만, 주어가 3인칭 단수(he, she, it)일 경우에는 동사 뒤에 -s 또는 -es를 붙여야 합니다. 형태는 '주어 + 동사원형(또는 동사+s)'입니다. 예를 들어 I play soccer every weekend., He plays soccer every weekend.처럼 사용합니다. 현재진행형은 '지금 하는 행동'을 나타내지만, 현재형은 '평소의 습관'을 나타낸다는 점을 구분해야 합니다. 3인칭 단수에서 -s를 빼먹는 것이 가장 흔한 실수입니다."
1,1,명사의 복수형,"영어에서 셀 수 있는 명사가 두 개 이상일 때는 복수형을 사용합니다. 대부분의 명사는 끝에 -s를 붙이지만, -s, -x, -ch, -sh로 끝나는 단어는 -es를 붙입니다. 자음+y로 끝나는 단어는 y를 i로 바꾼 뒤 -es를 붙이며, child→children, man→men처럼 형태가 완전히 달라지는 불규칙 복수형도 있습니다. 예를 들어 There are three books on the desk., Children are playing outside.처럼 사용할 수 있습니다. 복수 명사를 사용할 때는 동사도 are처럼 복수 형태에 맞게 사용하는 것이 중요합니다."
1,1,지시대명사(this/that),"this와 these는 말하는 사람에게 가까이 있는 사람이나 사물을 가리키고, that과 those는 멀리 있는 대상이나 이미 언급한 대상을 가리킬 때 사용합니다. this와 that은 단수 명사와 함께 사용하고, these와 those는 복수 명사와 함께 사용합니다. 형태는 'this/that + 단수명사', 'these/those + 복수명사'입니다. 예를 들어 This is my bag., Those are her shoes.처럼 사용할 수 있습니다. 단수와 복수를 혼동하지 않는 것이 중요하며, 거리뿐 아니라 대화의 흐름에 따라 이미 언급한 대상을 가리킬 때도 that을 사용할 수 있습니다."
1,1,인칭대명사·소유격,"인칭대명사는 사람이나 사물의 이름 대신 사용하는 말로, 주격(I, you, he, she, they 등)과 목적격(me, him, her 등)으로 구분됩니다. 또한 소유를 나타낼 때는 my, your, his, her, their과 같은 소유격을 사용합니다. 주격은 주어 자리에, 목적격은 목적어 자리에, 소유격은 명사 앞에 위치합니다. 예를 들어 She loves her dog., It loves her.처럼 사용할 수 있습니다. 주격과 목적격을 혼동하거나 소유격 대신 주격을 사용하는 실수를 주의해야 합니다."
1,1,There is/are,"There is와 There are는 '~이 있다'라는 존재를 나타낼 때 사용하는 표현입니다. 뒤에 오는 명사가 단수 또는 셀 수 없는 명사이면 There is를, 복수 명사이면 There are를 사용합니다. 형태는 'There is/are + 명사'입니다. 예를 들어 There is a book on the table., There are many people in the park.처럼 사용할 수 있습니다. 이미 무엇이 있는지 말하는 것이 아니라 새로운 존재를 소개할 때 주로 사용하며, 뒤에 오는 명사의 수에 맞춰 동사를 선택해야 합니다."
1,1,현재진행형,"현재진행형은 말하는 순간 현재 진행 중인 행동이나 가까운 미래에 예정된 일을 나타낼 때 사용합니다. 형태는 '주어 + am/is/are + 동사ing'입니다. 예를 들어 They are watching a movie right now., She is studying now.처럼 사용할 수 있습니다. 일반적인 습관은 현재형을 사용하지만, 지금 이 순간 하고 있는 행동은 현재진행형을 사용합니다. 동사에 -ing를 붙일 때는 make→making, run→running처럼 철자가 바뀌는 경우도 있으므로 함께 익혀두는 것이 좋습니다."
1,1,기본 의문문·부정문,"영어 문장을 의문문이나 부정문으로 만들 때는 사용하는 동사의 종류에 따라 만드는 방법이 달라집니다. be동사가 있는 문장은 be동사를 앞으로 보내 의문문을 만들고, 뒤에 not을 붙여 부정문을 만듭니다. 일반동사는 do 또는 does를 사용하며, 부정문은 don't 또는 doesn't를 사용합니다. 예를 들어 Is she a teacher?, She is not a teacher., Does he like coffee?, He doesn't like coffee.처럼 사용할 수 있습니다. do나 does를 사용한 의문문에서는 본동사를 반드시 원형으로 써야 한다는 점을 주의해야 합니다."
1,2,과거형(규칙/불규칙),"과거형은 이미 끝난 행동이나 과거의 사실을 나타낼 때 사용하는 시제입니다. 대부분의 규칙동사는 동사 뒤에 -ed를 붙여 만들지만, go→went, eat→ate, see→saw처럼 형태가 완전히 바뀌는 불규칙동사도 많습니다. 형태는 '주어 + 과거형 동사'입니다. 예를 들어 She visited Paris last summer., He went to school yesterday.처럼 사용할 수 있습니다. 과거를 나타내는 yesterday, last week, two years ago와 함께 자주 사용되며, 불규칙동사는 암기가 필요합니다."
1,2,미래표현(will/be going to),"영어에서는 미래를 표현할 때 will과 be going to를 가장 많이 사용합니다. will은 즉흥적인 결정, 약속, 예측을 나타낼 때 사용하고, be going to는 이미 계획하거나 예정된 일을 말할 때 사용합니다. 형태는 'will + 동사원형', 'am/is/are going to + 동사원형'입니다. 예를 들어 I will call you later., She is going to study abroad next year.처럼 사용할 수 있습니다. 두 표현 모두 미래를 나타내지만 계획 여부에 따라 사용하는 상황이 다르므로 의미 차이를 함께 익혀두는 것이 좋습니다."
1,2,비교급·최상급,"비교급은 두 대상의 차이를 비교할 때 사용하며, 최상급은 셋 이상의 대상 중 가장 뛰어나거나 부족한 대상을 나타낼 때 사용합니다. 짧은 형용사와 부사는 -er, -est를 붙이고, 긴 단어는 more, most를 사용합니다. good→better→best, bad→worse→worst처럼 불규칙 변화도 있습니다. 형태는 '비교급 + than', 'the + 최상급'입니다. 예를 들어 This book is more interesting than that one., She is the tallest student in the class.처럼 사용할 수 있습니다. 비교급에는 than을, 최상급에는 보통 the를 함께 사용한다는 점을 기억해야 합니다."
