level,subject,problem,answer
1,ser/estar 현재형 구분,Ella ___ médica.,es
1,ser/estar 현재형 구분,Yo ___ cansado hoy.,estoy
1,ser/estar 현재형 구분,Nosotros ___ de España.,somos
1,명사의 성과 수,Los libro___ rojos están aquí.,s
1,명사의 성과 수,La casa blanc___.,a
1,명사의 성과 수,Las flor___ son bonitas.,es
1,관사(정관사/부정관사),Tengo ___ perro.,un
1,관사(정관사/부정관사),___ perro es muy simpático.,El
1,관사(정관사/부정관사),Necesito ___ libro nuevo.,un
1,규칙동사 현재형(-ar/-er/-ir),Yo ___(말하다:hablar) español.,hablo
1,규칙동사 현재형(-ar/-er/-ir),Tú ___(먹다:comer) mucho.,comes
1,규칙동사 현재형(-ar/-er/-ir),Nosotros ___(살다:vivir) en Madrid.,vivimos
1,주격·소유격 대명사,___ tengo mi propio coche.,Yo
1,주격·소유격 대명사,Ella ama a ___ familia.,su
1,주격·소유격 대명사,___ perro es muy grande. (우리의),Nuestro
1,지시대명사(este/ese/aquel),___ libro es mío. (이것),Este
1,지시대명사(este/ese/aquel),___ coche es tuyo. (그것),Ese
1,지시대명사(este/ese/aquel),___ montaña está muy lejos. (저것),Aquella
1,hay(존재표현),___ muchos libros en la mesa.,Hay
1,hay(존재표현),___ un gato en el jardín.,Hay
1,hay(존재표현),No ___ tiempo.,hay
1,기본 의문문·부정문,¿___ inglés? (말하다:hablar),Hablas
1,기본 의문문·부정문,___ hablo inglés.,No
1,기본 의문문·부정문,Ella ___ come carne.,no
2,불규칙동사 현재형,Yo ___(가지다:tener) veinte años.,tengo
2,불규칙동사 현재형,Ella ___(가다:ir) a la escuela.,va
2,불규칙동사 현재형,Nosotros ___(하다:hacer) la tarea.,hacemos
2,재귀동사,___ levanto a las siete.,Me
2,재귀동사,Ella ___ lava las manos.,se
2,재귀동사,Nosotros ___ despertamos temprano.,nos
2,단순과거(pretérito indefinido),Ayer yo ___(말하다:hablar) con mi amigo.,hablé
2,단순과거(pretérito indefinido),Ella ___(먹다:comer) pizza anoche.,comió
2,단순과거(pretérito indefinido),Ellos ___(살다:vivir) en Madrid por dos años.,vivieron
2,불완료과거(imperfecto),"Cuando ___(이다:ser) niño, jugaba mucho.",era
2,불완료과거(imperfecto),Ella ___(살다:vivir) en Madrid antes.,vivía
2,불완료과거(imperfecto),Nosotros ___(가다:ir) a la playa todos los veranos.,íbamos
2,근접미래(ir a+동사원형),Voy ___ estudiar esta noche.,a
2,근접미래(ir a+동사원형),___ a llover mañana. (가다:ir),Va
2,근접미래(ir a+동사원형),Vamos a ___(여행하다:viajar) el próximo mes.,viajar
2,비교급·최상급,Este libro es ___ interesante que ese.,más
2,비교급·최상급,Es el ___ alto de la clase.,más
2,비교급·최상급,Ella es ___ inteligente que su hermano.,más
2,목적격대명사(직접/간접),___ doy el libro a ella. (그녀에게),Le
2,목적격대명사(직접/간접),___ compro. (그것을:책),Lo
2,목적격대명사(직접/간접),Ella ___ llama todos los días. (나에게),me
2,gustar류 동사,Me ___ el chocolate.,gusta
2,gustar류 동사,Nos ___ los libros. (복수 동사),gustan
2,gustar류 동사,¿Te ___ la música?,gusta
2,전치사(por/para),Este regalo es ___ ti.,para
2,전치사(por/para),Viajo ___ Europa.,por
2,전치사(por/para),Estudio ___ aprender más.,para
2,부사·빈도표현,___ desayuno a las ocho. (항상),Siempre
2,부사·빈도표현,___ voy al cine. (가끔),A veces
2,부사·빈도표현,Ella ___ llega tarde. (절대~않다),nunca
3,현재완료(pretérito perfecto),___ terminado mi tarea. (haber 현재:he),He
3,현재완료(pretérito perfecto),Ella ha ___(먹다:comer) ya.,comido
3,현재완료(pretérito perfecto),¿___ visto esta película? (haber 2인칭),Has
3,과거완료(pluscuamperfecto),"Cuando llegué, ella ya ___ salido. (haber:había)",había
3,과거완료(pluscuamperfecto),Nosotros ___(먹다:comer) antes de las siete.,habíamos comido
3,과거완료(pluscuamperfecto),Ellos ya se ___(가다:ir) cuando llamé.,habían ido
3,단순과거 vs 불완료과거,"Mientras yo ___(읽다:leer), sonó el teléfono.",leía
3,단순과거 vs 불완료과거,Ayer ___(비오다:llover) todo el día.,llovió
3,단순과거 vs 불완료과거,"Cuando era joven, ___(살다:vivir) en Madrid.",vivía
