lang_id,level,subject,grammar_expl
6,1,sein/haben 현재형,"sein(~이다)과 haben(가지다)은 독일어의 가장 기본적인 불규칙 동사로, 다른 시제의 조동사로도 쓰입니다. 형태: ich bin/habe, du bist/hast, er ist/hat. 예문: Ich bin Student und habe zwanzig Jahre. (나는 학생이고 스무 살이다.)"
6,1,명사의 성과 관사(der/die/das),"독일어 명사는 남성(der), 여성(die), 중성(das) 세 가지 성으로 구분되며, 관사는 명사의 성에 따라 정해집니다. 예문: Der Mann, die Frau, das Kind. (그 남자, 그 여자, 그 아이.)"
6,1,명사의 복수형,"독일어 복수형은 명사마다 -e, -er, -en, -s 등 다양한 방식으로 만들어지며 규칙이 일정하지 않아 명사와 함께 암기해야 합니다. 예문: ein Buch → zwei Bücher. (책 한 권 → 책 두 권.)"
6,1,규칙동사 현재형 어미변화,"규칙동사는 어간에 인칭에 따라 정해진 어미(-e, -st, -t, -en...)를 붙입니다. 형태: machen→mache/machst/macht. 예문: Ich mache meine Hausaufgaben. (나는 숙제를 한다.)"
6,1,인칭대명사·소유관사,"인칭대명사(ich, du, er...)는 주어를, 소유관사(mein, dein, sein...)는 명사의 성·격에 따라 어미가 변합니다. 예문: Ich habe mein eigenes Auto. (나는 내 소유의 차가 있다.)"
6,1,지시대명사(dieser/jener),"dieser(이)는 가까운 것을, jener(저)는 먼 것을 가리키며, 정관사류처럼 성·수·격에 따라 어미가 변합니다. 예문: Dieses Buch ist interessant. (이 책은 흥미롭다.)"
6,1,es gibt(존재표현),"es gibt는 '~이 있다'는 존재를 나타내며, 항상 4격(Akkusativ) 목적어를 취합니다. 형태: es gibt + 4격 명사. 예문: Es gibt viele Bücher auf dem Tisch. (책상 위에 책이 많이 있다.)"
6,1,기본 의문문·부정문(nicht/kein),"명사를 부정할 때는 kein을, 동사/형용사를 부정할 때는 nicht를 씁니다. 의문문은 동사를 문두로 보냅니다. 형태: Verb + Subjekt...? / nicht/kein + 명사. 예문: Sprichst du Englisch? Nein, ich spreche kein Englisch. (영어 할 줄 알아? 아니, 나 영어 못해.)"
6,2,격변화 기초(Akkusativ),"4격(Akkusativ)은 동작의 직접목적어를 나타내며, 남성 정관사만 der→den으로 변합니다. 형태: 동사 + den/die/das/die + 명사. 예문: Ich sehe den Mann. (나는 그 남자를 본다.)"
6,2,격변화 기초(Dativ),"3격(Dativ)은 간접목적어를 나타내며, der→dem, die→der, das→dem, die(복수)→den으로 변합니다. 형태: 동사 + dem/der/dem + 명사. 예문: Ich gebe dem Mann das Buch. (나는 그 남자에게 책을 준다.)"
6,2,분리동사,"분리동사는 전철(auf-, an-, mit- 등)이 문장 끝으로 분리되어 이동하는 동사입니다. 형태: 동사어간 + ... + 전철(문장끝). 예문: Ich stehe um sieben Uhr auf. (나는 7시에 일어난다.)"
6,2,화법조동사(können/müssen/wollen),"können은 능력/가능, müssen은 의무, wollen은 의지를 나타내는 화법조동사로, 본동사는 문장 끝에 원형으로 위치합니다. 예문: Ich kann Deutsch sprechen. (나는 독일어를 할 수 있다.)"
6,2,과거형(Präteritum: sein/haben),"sein과 haben은 일상 대화에서도 완료형보다 과거형(Präteritum)을 더 자주 씁니다. 형태: war/warst/war, hatte/hattest/hatte. 예문: Ich war gestern zu Hause. Ich hatte keine Zeit. (나는 어제 집에 있었다. 나는 시간이 없었다.)"
6,2,현재완료(Perfekt),"현재완료는 haben/sein(현재) + 과거분사로 만들며, 일상 대화에서 과거를 나타내는 가장 흔한 시제입니다. 형태: haben/sein + 과거분사(문장끝). 예문: Ich habe das Buch gelesen. (나는 그 책을 읽었다.)"
6,2,전치사(in/an/auf),"장소를 나타내는 전치사 in/an/auf는 위치를 나타낼 때는 3격(Dativ), 방향(이동)을 나타낼 때는 4격(Akkusativ)을 취합니다. 예문: Das Buch liegt auf dem Tisch. Ich lege das Buch auf den Tisch. (책이 책상 위에 있다. 나는 책을 책상 위에 놓는다.)"
6,2,비교급·최상급,"비교급은 형용사에 -er를, 최상급은 am -sten을 붙여 만듭니다. 예문: Dieses Buch ist interessanter als jenes. Es ist am interessantesten. (이 책이 저 책보다 더 재미있다. 이것이 가장 재미있다.)"
