lang_id,level,subject,grammar_expl
8,1,인칭대명사·호칭어,베트남어는 별도의 인칭대명사보다 나이/관계에 따른 호칭어(anh/chị/em/ông/bà 등)를 대명사처럼 사용합니다. 형태: 호칭어(화자)+호칭어(청자). 예문: Em tên là gì? (너 이름이 뭐야? - em은 손아랫사람을 가리키는 호칭.)
8,1,là 동사(~이다),"là는 '~이다'라는 서술을 나타내는 동사로, 명사(구) 앞에 위치하며 주어의 신분이나 정체를 설명합니다. 형태: 주어 + là + 명사. 예문: Tôi là sinh viên. (나는 학생이다.)"
8,1,형용사서술문,베트남어 형용사는 be동사 없이 그 자체로 서술어 역할을 합니다(주어+형용사). 형태: 주어 + 형용사. 예문: Cô ấy đẹp. (그녀는 예쁘다.)
8,1,지시사(này/đó/kia),"này는 가까운 것(이), đó/ấy는 조금 떨어진 것(그), kia는 먼 것(저)을 가리키며 명사 뒤에 위치합니다. 형태: 명사 + này/đó/kia. 예문: Quyển sách này rất hay. (이 책은 아주 재미있다.)"
8,1,존재표현 có,"có는 '~이 있다'는 소유나 존재를 나타내며, 부정형은 không có입니다. 형태: 주어 + có + 명사. 예문: Tôi có một quyển sách. (나는 책이 한 권 있다.)"
8,1,시제표시어(đã/đang/sẽ),"đã는 과거, đang은 현재진행, sẽ는 미래를 나타내는 시제표시어로, 동사 앞에 위치합니다. 예문: Tôi đã ăn cơm. Tôi đang học. Tôi sẽ đi. (나는 밥을 먹었다. 나는 공부하고 있다. 나는 갈 것이다.)"
8,1,기본 의문문(có...không/gì/ai/đâu),"có...không은 예/아니오 질문, gì(무엇)/ai(누구)/đâu(어디)는 의문사 의문문을 만듭니다. 예문: Bạn có khỏe không? Bạn tên là gì? (너 잘 지내니? 네 이름이 뭐야?)"
8,1,부정문(không/chưa),"không은 일반적인 부정(안~하다), chưa는 아직 일어나지 않은 일의 부정(아직 ~하지 않다)을 나타냅니다. 예문: Tôi không thích cà phê. Tôi chưa ăn cơm. (나는 커피를 안 좋아한다. 나는 아직 밥을 안 먹었다.)"
8,2,분류사(cái/con/quyển),"베트남어는 명사를 셀 때 반드시 분류사(classifier)를 숫자와 명사 사이에 넣습니다. cái는 무생물 일반, con은 동물, quyển은 책류에 씁니다. 형태: 숫자 + 분류사 + 명사. 예문: Tôi có hai quyển sách. (나는 책이 두 권 있다.)"
8,2,수량표현과 어순,"수량표현은 '숫자+분류사+명사' 순서로 오며, 많음(nhiều)/적음(ít) 같은 수량형용사는 분류사 없이 명사 앞에 옵니다. 예문: Tôi có nhiều bạn. (나는 친구가 많다.)"
8,2,정도부사(rất/lắm/quá),"rất는 형용사 앞, lắm은 형용사 뒤, quá는 형용사 앞/뒤 모두에서 '매우/너무'라는 정도를 강조합니다. 예문: Món này rất ngon. Món này ngon lắm. (이 음식은 매우 맛있다.)"
8,2,비교표현(hơn/bằng/nhất),"hơn은 '~보다 더', bằng은 '~만큼', nhất은 '가장'이라는 최상급을 나타냅니다. 형태: 형용사 + hơn/bằng/nhất. 예문: Cô ấy cao hơn tôi. Cô ấy cao nhất lớp. (그녀는 나보다 키가 크다. 그녀는 반에서 가장 크다.)"
8,2,접속사(và/nhưng/vì...nên),"và는 대등한 내용을 연결, nhưng은 대조되는 내용을 연결, vì...nên은 '~때문에 그래서'라는 인과관계를 나타냅니다. 예문: Tôi thích trà, nhưng tôi cũng thích cà phê. Vì trời mưa nên tôi ở nhà. (나는 차를 좋아하지만 커피도 좋아한다. 비가 와서 나는 집에 있는다.)"
8,2,전치사(ở/đến/từ),"ở는 위치(~에서), đến은 도착점(~으로), từ는 출발점(~부터)을 나타냅니다. 예문: Tôi sống ở Hà Nội. Tôi đi từ nhà đến trường. (나는 하노이에 산다. 나는 집에서 학교까지 간다.)"
8,2,완료상 rồi,rồi는 문장 끝에 붙어 동작이 이미 완료되었음을 나타냅니다. 형태: 동사 + rồi. 예문: Tôi ăn cơm rồi. (나는 밥을 이미 먹었다.)
8,2,경험표현(đã...chưa/từng),"đã...chưa는 '~해 본 적 있어?'라는 경험을 묻는 의문형, từng은 '~한 적이 있다'는 경험을 나타냅니다. 예문: Bạn đã đi Việt Nam chưa? Tôi từng đi Việt Nam. (너 베트남 가본 적 있어? 나는 베트남에 가본 적이 있다.)"
8,2,명령문(hãy/đừng/chớ),"hãy는 긍정 명령/권유, đừng/chớ는 금지를 나타내며 동사 앞에 위치합니다. 예문: Hãy đi ngủ sớm. Đừng làm ồn. (일찍 자거라. 시끄럽게 하지 마.)"
8,2,부가의문문(phải không),"phải không은 문장 끝에 붙어 '그렇지?'라는 확인을 구하는 부가의문문을 만듭니다. 예문: Bạn là sinh viên, phải không? (너 학생이지, 그렇지?)"
8,3,동시동작(vừa...vừa),vừa...vừa...는 '~하면서 동시에 ~하다'라는 두 동작의 동시 진행을 나타냅니다. 예문: Tôi vừa ăn vừa xem tivi. (나는 밥을 먹으면서 텔레비전을 본다.)
8,3,조건문(nếu...thì),nếu...thì...는 '만약 ~라면 ~하다'는 조건을 나타냅니다. 예문: Nếu trời mưa thì tôi ở nhà. (만약 비가 온다면 나는 집에 있을 것이다.)
8,3,양보표현(tuy...nhưng),tuy...nhưng...는 '비록 ~이지만'이라는 양보를 나타냅니다. 예문: Tuy trời mưa nhưng tôi vẫn đi học. (비록 비가 오지만 나는 여전히 학교에 간다.)
8,3,목적표현(để),"để는 '~하기 위해'라는 목적을 나타내며, 목적을 나타내는 절 앞에 위치합니다. 예문: Tôi học tiếng Việt để đi du lịch. (나는 여행 가기 위해 베트남어를 배운다.)"
8,3,사동표현(làm cho/khiến),làm cho/khiến는 '~하게 만들다/~하게 하다'라는 사동을 나타냅니다. 예문: Tin này làm cho tôi vui. (이 소식은 나를 기쁘게 만든다.)
8,3,피동표현(bị/được),"được은 긍정적/유리한 결과, bị는 부정적/불리한 결과를 나타내는 피동 표현입니다. 예문: Tôi được khen. Tôi bị phạt. (나는 칭찬받았다. 나는 벌받았다.)"
8,3,관계절(mà),mà는 영어의 that/which와 비슷하게 명사를 수식하는 관계절을 이끄는 접속사입니다. 예문: Quyển sách mà tôi đọc rất hay. (내가 읽는 그 책은 아주 재미있다.)
8,3,정도보어 심화,quá와 lắm을 함께 쓰거나 không thể...được 등을 결합해 강한 정도를 표현할 수 있습니다. 예문: Món này ngon quá đi mất. (이 음식은 정말 너무 맛있다.)
8,3,결과보어(được/xong/hết),"동사 뒤에 붙는 결과보어 được(가능/성공), xong(완료), hết(다~하다)은 동작의 결과를 구체화합니다. 예문: Tôi làm xong bài tập. (나는 숙제를 다 했다.)"
8,3,방향보어(ra/vào/lên/xuống),"동사 뒤에 붙는 방향보어 ra(밖으로), vào(안으로), lên(위로), xuống(아래로)은 동작의 이동 방향을 나타냅니다. 예문: Anh ấy đi ra ngoài. Cô ấy đi vào phòng. (그는 밖으로 나갔다. 그녀는 방 안으로 들어갔다.)"
8,3,강조표현(chính/ngay cả),"chính은 '바로 그'라는 강조를, ngay cả는 '~조차도'라는 극단적인 예를 강조하는 표현입니다. 예문: Chính anh ấy đã nói điều đó. Ngay cả trẻ con cũng biết. (바로 그가 그 말을 했다. 아이들조차도 안다.)"
8,3,재귀·상호표현(nhau/tự mình),"nhau는 '서로'라는 상호를, tự mình은 '스스로/직접'이라는 재귀를 나타냅니다. 예문: Họ yêu nhau. Tôi tự mình làm việc này. (그들은 서로 사랑한다. 나는 스스로 이 일을 한다.)"
8,4,이중부정,"không phải là không은 '~이 아닌 것은 아니다'라는 이중부정으로 완곡한 긍정을 나타냅니다. 예문: Tôi không phải là không thích, chỉ là không có thời gian. (내가 안 좋아하는 건 아니고, 단지 시간이 없을 뿐이다.)"
