level,subject,problem,answer
1,sein/haben 현재형,Ich ___ Student.,bin
1,sein/haben 현재형,Ich ___ zwanzig Jahre.,habe
1,sein/haben 현재형,Sie ___ Lehrerin.,ist
1,명사의 성과 관사(der/die/das),___ Mann ist mein Vater. (남성),Der
1,명사의 성과 관사(der/die/das),___ Frau ist meine Mutter. (여성),Die
1,명사의 성과 관사(der/die/das),___ Kind spielt im Garten. (중성),Das
1,명사의 복수형,"ein Buch, zwei ___. (복수:Bücher)",Bücher
1,명사의 복수형,"eine Frau, drei ___. (복수:Frauen)",Frauen
1,명사의 복수형,"ein Kind, vier ___. (복수:Kinder)",Kinder
1,규칙동사 현재형 어미변화,Ich ___(하다:machen) meine Hausaufgaben.,mache
1,규칙동사 현재형 어미변화,Du ___(살다:wohnen) in Berlin.,wohnst
1,규칙동사 현재형 어미변화,Er ___(배우다:lernen) Deutsch.,lernt
1,인칭대명사·소유관사,Ich habe ___ eigenes Auto. (나의),mein
1,인칭대명사·소유관사,Sie liebt ___ Familie. (그녀의),ihre
1,인칭대명사·소유관사,___ Hund ist sehr groß. (우리의),Unser
1,지시대명사(dieser/jener),___ Buch ist interessant. (이:중성),Dieses
1,지시대명사(dieser/jener),___ Auto ist teuer. (저:중성),Jenes
1,지시대명사(dieser/jener),___ Mann ist mein Lehrer. (이:남성),Dieser
1,es gibt(존재표현),___ viele Bücher auf dem Tisch.,Es gibt
1,es gibt(존재표현),___ einen Park in der Nähe.,Es gibt
1,es gibt(존재표현),___ keine Zeit mehr. (없다),Es gibt
1,기본 의문문·부정문(nicht/kein),___ du Englisch? (말하다:sprechen),Sprichst
1,기본 의문문·부정문(nicht/kein),Ich spreche ___ Englisch. (명사부정),kein
1,기본 의문문·부정문(nicht/kein),Das ist ___ richtig. (동사/형용사 부정),nicht
2,격변화 기초(Akkusativ),Ich sehe ___ Mann. (der→4격),den
2,격변화 기초(Akkusativ),Sie kauft ___ Buch. (das),das
2,격변화 기초(Akkusativ),Wir haben ___ Hund. (ein→4격),einen
2,격변화 기초(Dativ),Ich gebe ___ Mann das Buch. (der→3격),dem
2,격변화 기초(Dativ),Sie hilft ___ Frau. (die→3격),der
2,격변화 기초(Dativ),Wir danken ___ Kindern. (die 복수→3격),den
2,분리동사,Ich stehe um sieben Uhr ___. (aufstehen),auf
2,분리동사,Er macht die Tür ___. (zumachen),zu
2,분리동사,Wir kommen morgen ___. (ankommen),an
2,화법조동사(können/müssen/wollen),Ich ___ Deutsch sprechen. (können),kann
2,화법조동사(können/müssen/wollen),Du ___ die Hausaufgaben machen. (müssen),musst
2,화법조동사(können/müssen/wollen),Sie ___ nach Berlin fahren. (wollen),will
2,과거형(Präteritum: sein/haben),Ich ___ gestern zu Hause. (sein 과거:war),war
2,과거형(Präteritum: sein/haben),Ich ___ keine Zeit. (haben 과거:hatte),hatte
2,과거형(Präteritum: sein/haben),Wir ___ sehr müde. (sein 과거:waren),waren
2,현재완료(Perfekt),Ich habe das Buch ___(읽다:lesen).,gelesen
2,현재완료(Perfekt),Sie ist nach Berlin ___(가다:fahren).,gefahren
2,현재완료(Perfekt),Wir haben Pizza ___(먹다:essen).,gegessen
2,전치사(in/an/auf),Das Buch liegt auf ___ Tisch. (위치:3격),dem
2,전치사(in/an/auf),Ich lege das Buch auf ___ Tisch. (방향:4격),den
2,전치사(in/an/auf),Das Bild hängt an ___ Wand. (위치:die→3격),der
2,비교급·최상급,Dieses Buch ist ___ als jenes. (interessant),interessanter
2,비교급·최상급,Es ist ___ interessantesten. (am),am
2,비교급·최상급,Sie ist ___ als ihr Bruder. (klug),klüger
2,재귀동사,Ich freue ___ auf die Reise. (mich),mich
2,재귀동사,Er interessiert ___ für Musik. (sich),sich
2,재귀동사,Wir setzen ___ auf die Bank. (uns),uns
2,부사·빈도표현,Ich trinke ___ Kaffee am Morgen. (항상),immer
2,부사·빈도표현,Er geht ___ ins Kino. (가끔),manchmal
2,부사·빈도표현,Sie kommt ___ zu spät. (절대~않다),nie
3,형용사 어미변화(정관사류),der groß___ Mann. (약변화),e
3,형용사 어미변화(정관사류),die schön___ Frau.,e
3,형용사 어미변화(정관사류),das klein___ Kind.,e
3,형용사 어미변화(부정관사류),ein groß___ Mann. (혼합변화 남성1격),er
3,형용사 어미변화(부정관사류),ein klein___ Kind. (혼합변화 중성1격),es
3,형용사 어미변화(부정관사류),eine schön___ Frau. (혼합변화 여성1격),e
3,종속접속사·어순(weil/dass/wenn),"Ich bleibe zu Hause, weil es ___. (regnen)",regnet
3,종속접속사·어순(weil/dass/wenn),"Ich weiß, dass er ___ kommt. (morgen)",morgen
3,종속접속사·어순(weil/dass/wenn),"Wenn du Zeit ___, ruf mich an. (haben)",hast
3,관계대명사(격변화),"Der Mann, ___ dort wohnt, ist mein Onkel. (주격 남성)",der
3,관계대명사(격변화),"Das Buch, ___ ich lese, ist interessant. (목적격 중성)",das
3,관계대명사(격변화),"Die Frau, ___ ich helfe, ist meine Nachbarin. (3격 여성)",der
3,2격(Genitiv),das Auto ___ Mannes. (der→2격),des
3,2격(Genitiv),die Tasche ___ Frau. (die→2격),der
3,2격(Genitiv),der Name des Kind___. (2격 명사어미),es
3,수동태(현재),Das Haus ___ von meinem Großvater gebaut. (werden),wird
3,수동태(현재),Die Bücher ___(쓰여지다:schreiben) von einem berühmten Autor geschrieben.,werden
3,수동태(현재),Die Brücke ___(짓다:bauen) 1990 gebaut.,wurde
3,접속법 2식 기초(würde),Ich ___ gerne nach Spanien reisen. (würde),würde
3,접속법 2식 기초(würde),___(하다:würde) du mir helfen? (정중한 요청),Würdest
3,접속법 2식 기초(würde),"Wenn ich Zeit hätte, ___ ich kommen. (würde)",würde
3,명령법,___(말하다:sprechen) langsamer!,Sprich
3,명령법,___(오다:kommen) Sie bitte herein!,Kommen
3,명령법,___(먹다:essen) dein Gemüse!,Iss
3,da-/wo-복합어,Ich denke ___. (그것에 대해:daran),daran
3,da-/wo-복합어,___ denkst du? (무엇에 대해:woran),Woran
3,da-/wo-복합어,Ich interessiere mich ___. (그것을 위해:dafür),dafür
3,zu부정사구문,"Ich lerne Deutsch, um in Deutschland zu ___(공부하다:studieren).",studieren
3,zu부정사구문,"Er ging weg, ohne etwas zu ___(말하다:sagen).",sagen
3,zu부정사구문,"Sie las ein Buch, statt fernzu___(보다:sehen).",sehen
3,부문장 어순 심화,"Weil es regnet, ___ ich zu Hause. (bleiben, 도치)",bleibe
3,부문장 어순 심화,"Wenn du kommst, ___ ich mich. (freuen, 도치)",freue
3,부문장 어순 심화,"Obwohl er müde war, ___ er weiter. (arbeiten, 도치)",arbeitete
3,전치사+격 심화(mit/nach/bei),Ich fahre mit ___ Bus. (der→3격),dem
